,Total demand,Primary supply,Primary demand,Scrap demand,Primary commodity price,Original primary commodity price,Total production,Actual demand,Primary commodity price.1,Primary commodity price.2,Primary commodity price old,Mine production - INSG,Mine production - USGS,Primary supply (BGS),Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,Unnamed: 5,"Primary commodity price, not adjusted for oil"
1989,,,,,25585.85678324226,34591.1094826076,,,,,,,,,,,,,,
1990,,,,,24600.89051775726,22075.48962860371,,,,,,,,,,,,,,
1991,,,,,23477.093085090957,20090.97123851547,,,,,,,,,,,,,,
1992,,,,,20601.540790736784,21645.99172130226,,,,,,,,,,,,,,
1993,,,,,20442.879941526677,18981.90335442574,,,,,,,,,,,,,,
1994,,,,,20172.225589899786,20213.34801083674,,,,,,,,,,,,,,
1995,,,,,19277.5348610088,21282.18538255317,,,,,,,,,,,,,,
1996,,,,,19382.94092656616,18737.69948038102,,,,,,,,,,,,,,
1997,,,,,18603.73884919686,17172.53807684732,,,,,,,,,,,,,,
1998,,,,,16832.024559917925,19508.93368221255,,,,,,,,,,,,,,
1999,,,,,15251.139301146934,16317.33762399025,,,,,,,,,,,,,,
2000,,,,,13765.21103798715,12423.61393615849,,,,,,,,,,,,,,
2001,280.695,244.295,,36.400000000000006,11934.063264294251,10833.27318652605,,,,,,,,,,,,,,
2002,264.428,234.915,,29.513000000000005,11579.16654483803,9742.896761048405,,,,,,,,,,,,,,
2003,275.282,257.041,,18.240999999999985,11242.293496610471,10353.19481374806,,,,,,,,,,,,,,
2004,313.09,285.442,,27.647999999999968,11310.69843317453,14542.85402670915,,,,,,,,,,,,,,
2005,333.6,297.812,,35.78800000000001,12672.91228709422,10739.24869502069,,,,,,,,,,,,,,
2006,327.002,296.48,,30.52199999999999,14063.300096626106,11175.29786934634,,,,,,,,,,,,,,
2007,335.408,342.531,,16.0,14490.549856917529,16553.96603064685,,,,,,,,,,,,,,
2008,326.262,313.907,,12.355000000000018,16598.146756209655,17305.13386140749,,,,,,,,,,,,,,
2009,318.163,314.539,,3.6240000000000236,19142.22255708006,16679.10282816627,,,,,,,,,,,,,,
2010,351.848,328.035,,23.812999999999988,19671.849434759097,21277.23319148133,,,,,,,,,,,,,,
2011,364.586,327.237,,37.34899999999999,20116.870263270295,23895.67687369835,,,,,,,,,,,,,,
2012,357.896,314.199,,43.697,20641.63628282927,19202.10041904204,,,,,,,,,,,,,,
2013,346.137,297.916,,48.221000000000004,20271.80844768404,19530.23800396348,,,,,,,,,,,,,,
2014,391.783,311.277,,80.50600000000003,19959.432392768147,19302.93292596115,,,,,,,,,,,,,,
2015,348.48,315.571,,32.90899999999999,20584.301294531913,19428.09401575518,,,,,,,,,,,,,,
2016,362.061,315.9,,46.161,20538.731052346695,22333.79659911889,,,,,,,,,,,,,,
2017,369.088,336.887,,32.20100000000002,20410.861401562906,22326.44492786086,,,,,,,,,,,,,,
2018,373.035,324.733,,48.30200000000002,20788.79227271229,19302.3867930374,,,,,,,,,,,,,,
2019,371.817,310.661,,61.156000000000006,21986.64512927591,18663.58467204219,,,,,,,,,,,,,,
2020,367.467,278.341,,89.12599999999998,23837.365946642945,21317.74837150212,,,,,,,,,,,,,,
2021,,,,,24971.11073504433,28323.06088193698,,,,,,,,,,,,,,
2022,,,,,27073.619422711712,31580.04901469603,,,,,,,,,,,,,,
