,0,1,2,3,4,5,6
0,"R2=0.276, n=21862",coef,std err,z,P>|z|,[0.025,0.975]
1,const,   39.2887,    0.839,   46.832, 0.000,   37.644,   40.933
2,log_Commodity Price (USD/t),    5.0898,    0.097,   52.625, 0.000,    4.900,    5.279
3,log_Head Grade (%),    4.9559,    0.100,   49.603, 0.000,    4.760,    5.152
4,SX-EW,  -10.7094,    0.283,  -37.852, 0.000,  -11.264,  -10.155
5,Mine Type 1_Placer,   21.8916,    1.091,   20.064, 0.000,   19.753,   24.030
6,Mine Type 1_Stock Pile,   -2.4569,    1.610,   -1.526, 0.127,   -5.613,    0.699
7,Mine Type 1_Tailings,  -17.4767,    1.856,   -9.416, 0.000,  -21.114,  -13.839
8,Mine Type 1_Underground,    0.6320,    0.158,    3.994, 0.000,    0.322,    0.942
