,0,1,2,3,4,5,6
0,"R2=0.953, n=22194",coef,std err,z,P>|z|,[0.025,0.975]
1,const,    7.9574,    0.019,  426.039, 0.000,    7.921,    7.994
2,log_Commodity Price (USD/t),   -0.9532,    0.001, -702.749, 0.000,   -0.956,   -0.951
3,Mine Type 1_Placer,   -2.1671,    0.082,  -26.313, 0.000,   -2.329,   -2.006
4,Mine Type 1_Stock Pile,    0.3530,    0.143,    2.476, 0.013,    0.074,    0.632
5,Mine Type 1_Tailings,   -0.8235,    0.103,   -8.014, 0.000,   -1.025,   -0.622
6,Mine Type 1_Underground,    0.7349,    0.012,   61.084, 0.000,    0.711,    0.758
