,0,1,2,3,4,5,6
0,"R2=0.709, n=7402",coef,std err,z,P>|z|,[0.025,0.975]
1,const,   -5.6416,    0.093,  -60.511, 0.000,   -5.824,   -5.459
2,log_Commodity Price (USD/t),    0.8313,    0.011,   74.103, 0.000,    0.809,    0.853
3,log_Head Grade (%),    0.9625,    0.010,   95.969, 0.000,    0.943,    0.982
4,SXEW,    0.4592,    0.060,    7.646, 0.000,    0.342,    0.577
5,Mine Type 1_Tailings,   -0.8975,    0.084,  -10.703, 0.000,   -1.062,   -0.733
6,Mine Type 1_Underground,    0.1060,    0.015,    7.286, 0.000,    0.077,    0.134
