,Year,Commodity,Historical or simulated,Scenario,Mean total minesite cost
103,2003.0,Mo,Historical,Historical,11593.65675584057
104,2003.0,Ni,Historical,Historical,4981.428534174037
105,2003.0,Pd,Historical,Historical,9499021.930845486
106,2003.0,Pt,Historical,Historical,18335636.09212324
107,2003.0,Ag,Historical,Historical,113261.5077638983
108,2003.0,Zn,Historical,Historical,479.1734467137953
109,2004.0,Cu,Historical,Historical,1304.434669517725
110,2004.0,Au,Historical,Historical,10934489.29145811
111,2004.0,Pb,Historical,Historical,561.5713844832652
112,2004.0,Mo,Historical,Historical,12638.91211995259
113,2004.0,Ni,Historical,Historical,5511.564053792065
114,2004.0,Pd,Historical,Historical,8792428.476532236
115,2004.0,Pt,Historical,Historical,22362932.90646969
116,2004.0,Ag,Historical,Historical,108749.0166224341
117,2004.0,Zn,Historical,Historical,485.7082541560125
118,2005.0,Cu,Historical,Historical,1447.285236573866
119,2005.0,Au,Historical,Historical,12073688.62070915
120,2005.0,Pb,Historical,Historical,661.508981791702
121,2005.0,Mo,Historical,Historical,11951.59473533783
122,2005.0,Ni,Historical,Historical,6151.247029437141
123,2005.0,Pd,Historical,Historical,10141243.89350407
124,2005.0,Pt,Historical,Historical,21317886.90733549
125,2005.0,Ag,Historical,Historical,119441.3037053323
126,2005.0,Zn,Historical,Historical,543.2021726868853
127,2006.0,Cu,Historical,Historical,1767.081576377434
128,2006.0,Au,Historical,Historical,13443739.24094949
129,2006.0,Pb,Historical,Historical,610.4609181151055
130,2006.0,Mo,Historical,Historical,12500.4991309644
131,2006.0,Ni,Historical,Historical,7246.283282297346
132,2006.0,Pd,Historical,Historical,8230586.887476427
133,2006.0,Pt,Historical,Historical,18010819.39748333
134,2006.0,Ag,Historical,Historical,141310.7628567879
135,2006.0,Zn,Historical,Historical,673.3896117491798
136,2007.0,Cu,Historical,Historical,2070.578865498921
137,2007.0,Au,Historical,Historical,16067097.21106776
138,2007.0,Pb,Historical,Historical,783.9161947732671
139,2007.0,Mo,Historical,Historical,17276.72811802103
140,2007.0,Ni,Historical,Historical,8619.325972840135
141,2007.0,Pd,Historical,Historical,8050672.831658323
142,2007.0,Pt,Historical,Historical,19719446.12197348
143,2007.0,Ag,Historical,Historical,152080.1406421997
144,2007.0,Zn,Historical,Historical,708.2756447754912
145,2008.0,Cu,Historical,Historical,2631.999904421684
146,2008.0,Au,Historical,Historical,18101185.58948218
147,2008.0,Pb,Historical,Historical,887.934648638512
148,2008.0,Mo,Historical,Historical,16027.89817416866
149,2008.0,Ni,Historical,Historical,8654.51015845102
150,2008.0,Pd,Historical,Historical,9755463.32703939
151,2008.0,Pt,Historical,Historical,25414006.01961679
152,2008.0,Ag,Historical,Historical,192301.2997434447
153,2008.0,Zn,Historical,Historical,592.7479507087613
154,2009.0,Cu,Historical,Historical,2293.869938701785
155,2009.0,Au,Historical,Historical,18702124.12039039
156,2009.0,Pb,Historical,Historical,930.8897285825464
157,2009.0,Mo,Historical,Historical,13894.88410746363
158,2009.0,Ni,Historical,Historical,7391.796615323552
159,2009.0,Pd,Historical,Historical,8750576.846490175
160,2009.0,Pt,Historical,Historical,34826275.59549709
161,2009.0,Ag,Historical,Historical,204624.4871981225
162,2009.0,Zn,Historical,Historical,531.4072478293787
163,2010.0,Cu,Historical,Historical,2820.430338609487
164,2010.0,Au,Historical,Historical,21432066.52906094
165,2010.0,Pb,Historical,Historical,996.7254785258027
166,2010.0,Mo,Historical,Historical,14339.44633202571
167,2010.0,Ni,Historical,Historical,8622.35932001391
168,2010.0,Pd,Historical,Historical,11189153.5413331
169,2010.0,Pt,Historical,Historical,36172878.82388126
170,2010.0,Ag,Historical,Historical,250154.2181642534
171,2010.0,Zn,Historical,Historical,646.4155706831693
172,2011.0,Cu,Historical,Historical,3382.966663755832
173,2011.0,Au,Historical,Historical,24415581.17143567
174,2011.0,Pb,Historical,Historical,1106.349106945865
175,2011.0,Mo,Historical,Historical,16836.323372098
176,2011.0,Ni,Historical,Historical,9766.594436444648
177,2011.0,Pd,Historical,Historical,13800799.60115829
178,2011.0,Pt,Historical,Historical,41482642.94940765
179,2011.0,Ag,Historical,Historical,354185.8589471192
180,2011.0,Zn,Historical,Historical,655.6984110476229
181,2012.0,Cu,Historical,Historical,3636.451020499391
182,2012.0,Au,Historical,Historical,26967932.02964691
183,2012.0,Pb,Historical,Historical,950.1963628631968
184,2012.0,Mo,Historical,Historical,18904.88292867638
185,2012.0,Ni,Historical,Historical,9555.887878755175
186,2012.0,Pd,Historical,Historical,13941490.11247504
187,2012.0,Pt,Historical,Historical,45681611.41446301
188,2012.0,Ag,Historical,Historical,385272.0159513115
189,2012.0,Zn,Historical,Historical,679.2009361526287
190,2013.0,Cu,Historical,Historical,3570.062566282996
191,2013.0,Au,Historical,Historical,27054653.72075966
192,2013.0,Pb,Historical,Historical,936.7746683228522
193,2013.0,Mo,Historical,Historical,15275.30376002169
194,2013.0,Ni,Historical,Historical,8794.15442330154
195,2013.0,Pd,Historical,Historical,16269811.34798566
196,2013.0,Pt,Historical,Historical,40108306.10331289
197,2013.0,Ag,Historical,Historical,364142.2509147801
198,2013.0,Zn,Historical,Historical,702.3194144255259
199,2014.0,Cu,Historical,Historical,3394.097665210479
200,2014.0,Au,Historical,Historical,25548488.14771066
201,2014.0,Pb,Historical,Historical,1020.071686437035
202,2014.0,Mo,Historical,Historical,16054.92223927428
203,2014.0,Ni,Historical,Historical,8226.960126966798
204,2014.0,Pd,Historical,Historical,16463755.40367547
205,2014.0,Pt,Historical,Historical,42636977.10360896
206,2014.0,Ag,Historical,Historical,325438.2391363527
207,2014.0,Zn,Historical,Historical,702.0441402742501
208,2015.0,Cu,Historical,Historical,2959.23236296235
209,2015.0,Au,Historical,Historical,23357014.02818047
210,2015.0,Pb,Historical,Historical,964.3439802284076
211,2015.0,Mo,Historical,Historical,15494.60050986735
212,2015.0,Ni,Historical,Historical,6736.864769760246
213,2015.0,Pd,Historical,Historical,16017641.23304076
214,2015.0,Pt,Historical,Historical,31367517.01192109
215,2015.0,Ag,Historical,Historical,272771.4504330344
216,2015.0,Zn,Historical,Historical,643.4191840155706
217,2016.0,Cu,Historical,Historical,2527.214747332179
218,2016.0,Au,Historical,Historical,22804366.85142472
219,2016.0,Pb,Historical,Historical,988.8046613186507
220,2016.0,Mo,Historical,Historical,18454.15628752367
221,2016.0,Ni,Historical,Historical,5838.140778486279
222,2016.0,Pd,Historical,Historical,14418781.47446016
223,2016.0,Pt,Historical,Historical,27943392.67331565
224,2016.0,Ag,Historical,Historical,247199.4748614528
225,2016.0,Zn,Historical,Historical,602.8505753376289
226,2017.0,Cu,Historical,Historical,2635.422090046818
227,2017.0,Au,Historical,Historical,22826886.2386174
228,2017.0,Pb,Historical,Historical,980.6988896307371
229,2017.0,Mo,Historical,Historical,16543.28949142022
230,2017.0,Ni,Historical,Historical,5559.95687101811
231,2017.0,Pd,Historical,Historical,15954350.61266746
