,Year,Commodity,Historical or simulated,Scenario,Mean mine grade
116,2004.0,Ag,Historical,Historical,0.0512
117,2004.0,Zn,Historical,Historical,10.615496
118,2005.0,Cu,Historical,Historical,1.134146
119,2005.0,Au,Historical,Historical,0.000491
120,2005.0,Pb,Historical,Historical,5.325358
121,2005.0,Mo,Historical,Historical,0.181448
122,2005.0,Ni,Historical,Historical,1.66239
123,2005.0,Pd,Historical,Historical,0.000948
124,2005.0,Pt,Historical,Historical,0.000246
125,2005.0,Ag,Historical,Historical,0.048197
126,2005.0,Zn,Historical,Historical,10.595442
127,2006.0,Cu,Historical,Historical,1.15692
128,2006.0,Au,Historical,Historical,0.000448
129,2006.0,Pb,Historical,Historical,5.401949
130,2006.0,Mo,Historical,Historical,0.191417
131,2006.0,Ni,Historical,Historical,1.674963
132,2006.0,Pd,Historical,Historical,0.00093
133,2006.0,Pt,Historical,Historical,0.000244
134,2006.0,Ag,Historical,Historical,0.044429
135,2006.0,Zn,Historical,Historical,10.206561
136,2007.0,Cu,Historical,Historical,1.119292
137,2007.0,Au,Historical,Historical,0.000466
138,2007.0,Pb,Historical,Historical,4.87991
139,2007.0,Mo,Historical,Historical,0.183722
140,2007.0,Ni,Historical,Historical,1.660754
141,2007.0,Pd,Historical,Historical,0.000844
142,2007.0,Pt,Historical,Historical,0.000235
143,2007.0,Ag,Historical,Historical,0.043807
144,2007.0,Zn,Historical,Historical,9.781095
145,2008.0,Cu,Historical,Historical,1.067731
146,2008.0,Au,Historical,Historical,0.00046
147,2008.0,Pb,Historical,Historical,4.437809
148,2008.0,Mo,Historical,Historical,0.184818
149,2008.0,Ni,Historical,Historical,1.694078
150,2008.0,Pd,Historical,Historical,0.000864
151,2008.0,Pt,Historical,Historical,0.000231
152,2008.0,Ag,Historical,Historical,0.04154
153,2008.0,Zn,Historical,Historical,9.135408
154,2009.0,Cu,Historical,Historical,1.07251
155,2009.0,Au,Historical,Historical,0.000435
156,2009.0,Pb,Historical,Historical,4.252064
157,2009.0,Mo,Historical,Historical,0.194862
158,2009.0,Ni,Historical,Historical,1.684899
159,2009.0,Pd,Historical,Historical,0.001316
160,2009.0,Pt,Historical,Historical,0.000226
161,2009.0,Ag,Historical,Historical,0.039032
162,2009.0,Zn,Historical,Historical,9.447154
163,2010.0,Cu,Historical,Historical,1.054035
164,2010.0,Au,Historical,Historical,0.000424
165,2010.0,Pb,Historical,Historical,4.638124
166,2010.0,Mo,Historical,Historical,0.192225
167,2010.0,Ni,Historical,Historical,1.699559
168,2010.0,Pd,Historical,Historical,0.001085
169,2010.0,Pt,Historical,Historical,0.000222
170,2010.0,Ag,Historical,Historical,0.037114
171,2010.0,Zn,Historical,Historical,9.07632
172,2011.0,Cu,Historical,Historical,1.062042
173,2011.0,Au,Historical,Historical,0.000375
174,2011.0,Pb,Historical,Historical,4.334029
175,2011.0,Mo,Historical,Historical,0.177527
176,2011.0,Ni,Historical,Historical,1.709516
177,2011.0,Pd,Historical,Historical,0.000995
178,2011.0,Pt,Historical,Historical,0.000212
179,2011.0,Ag,Historical,Historical,0.032307
180,2011.0,Zn,Historical,Historical,8.792122
181,2012.0,Cu,Historical,Historical,1.096769
182,2012.0,Au,Historical,Historical,0.000338
183,2012.0,Pb,Historical,Historical,4.594419
184,2012.0,Mo,Historical,Historical,0.160552
185,2012.0,Ni,Historical,Historical,1.643217
186,2012.0,Pd,Historical,Historical,0.000999
187,2012.0,Pt,Historical,Historical,0.00021
188,2012.0,Ag,Historical,Historical,0.029995
189,2012.0,Zn,Historical,Historical,8.576248
190,2013.0,Cu,Historical,Historical,1.115081
191,2013.0,Au,Historical,Historical,0.000325
192,2013.0,Pb,Historical,Historical,4.80497
193,2013.0,Mo,Historical,Historical,0.159064
194,2013.0,Ni,Historical,Historical,1.6555
195,2013.0,Pd,Historical,Historical,0.000946
196,2013.0,Pt,Historical,Historical,0.000214
197,2013.0,Ag,Historical,Historical,0.029251
198,2013.0,Zn,Historical,Historical,7.950476
199,2014.0,Cu,Historical,Historical,1.092923
200,2014.0,Au,Historical,Historical,0.000332
201,2014.0,Pb,Historical,Historical,4.720958
202,2014.0,Mo,Historical,Historical,0.149065
203,2014.0,Ni,Historical,Historical,1.583071
204,2014.0,Pd,Historical,Historical,0.000894
205,2014.0,Pt,Historical,Historical,0.000199
206,2014.0,Ag,Historical,Historical,0.031028
207,2014.0,Zn,Historical,Historical,7.933967
208,2015.0,Cu,Historical,Historical,1.056717
209,2015.0,Au,Historical,Historical,0.000331
210,2015.0,Pb,Historical,Historical,4.420812
211,2015.0,Mo,Historical,Historical,0.1989
212,2015.0,Ni,Historical,Historical,1.600446
213,2015.0,Pd,Historical,Historical,0.000884
214,2015.0,Pt,Historical,Historical,0.000205
215,2015.0,Ag,Historical,Historical,0.03081
216,2015.0,Zn,Historical,Historical,7.545626
217,2016.0,Cu,Historical,Historical,0.983349
218,2016.0,Au,Historical,Historical,0.000324
219,2016.0,Pb,Historical,Historical,4.427452
220,2016.0,Mo,Historical,Historical,0.203291
221,2016.0,Ni,Historical,Historical,1.637285
222,2016.0,Pd,Historical,Historical,0.000945
223,2016.0,Pt,Historical,Historical,0.000205
224,2016.0,Ag,Historical,Historical,0.030321
225,2016.0,Zn,Historical,Historical,7.149682
226,2017.0,Cu,Historical,Historical,0.950507
227,2017.0,Au,Historical,Historical,0.000317
228,2017.0,Pb,Historical,Historical,4.376648
229,2017.0,Mo,Historical,Historical,0.201957
230,2017.0,Ni,Historical,Historical,1.579081
231,2017.0,Pd,Historical,Historical,0.000874
232,2017.0,Pt,Historical,Historical,0.000201
233,2017.0,Ag,Historical,Historical,0.027781
234,2017.0,Zn,Historical,Historical,6.76926
235,2018.0,Cu,Historical,Historical,0.936899
236,2018.0,Au,Historical,Historical,0.000328
237,2018.0,Pb,Historical,Historical,4.240879
238,2018.0,Mo,Historical,Historical,0.173848
239,2018.0,Ni,Historical,Historical,1.555348
240,2018.0,Pd,Historical,Historical,0.000825
241,2018.0,Pt,Historical,Historical,0.000197
242,2018.0,Ag,Historical,Historical,0.025496
243,2018.0,Zn,Historical,Historical,7.080603
244,2019.0,Cu,Historical,Historical,0.922863
245,2019.0,Au,Historical,Historical,0.000349
246,2019.0,Pb,Historical,Historical,4.30261
247,2019.0,Mo,Historical,Historical,0.196724
248,2019.0,Ni,Historical,Historical,1.461452
249,2019.0,Pd,Historical,Historical,0.000848
250,2019.0,Pt,Historical,Historical,0.000197
251,2019.0,Ag,Historical,Historical,0.023762
252,2019.0,Zn,Historical,Historical,6.714424
253,2001.0,Ag,Simulated,0,0.0272199945859392
254,2002.0,Ag,Simulated,0,0.0264462823632647
255,2003.0,Ag,Simulated,0,0.0251089900420011
256,2004.0,Ag,Simulated,0,0.0246305146016033
257,2005.0,Ag,Simulated,0,0.0232854013064745
258,2006.0,Ag,Simulated,0,0.0223648127078669
259,2007.0,Ag,Simulated,0,0.0218817669555086
260,2008.0,Ag,Simulated,0,0.0214173143380913
261,2009.0,Ag,Simulated,0,0.0211011980272003
262,2010.0,Ag,Simulated,0,0.0214147020120377
263,2011.0,Ag,Simulated,0,0.0212884978365892
264,2012.0,Ag,Simulated,0,0.021646902320481
265,2013.0,Ag,Simulated,0,0.0212549822692321
266,2014.0,Ag,Simulated,0,0.0211077807913038
267,2015.0,Ag,Simulated,0,0.0209661790570313
268,2016.0,Ag,Simulated,0,0.0211249875286825
269,2017.0,Ag,Simulated,0,0.0208770737391465
270,2018.0,Ag,Simulated,0,0.0212045753884384
271,2019.0,Ag,Simulated,0,0.0203413608312275
272,2001.0,Ag,Simulated,1,0.0242347573420979
273,2002.0,Ag,Simulated,1,0.023997827803581
274,2003.0,Ag,Simulated,1,0.0235056475422477
275,2004.0,Ag,Simulated,1,0.0236525639574314
276,2005.0,Ag,Simulated,1,0.0232642911962745
277,2006.0,Ag,Simulated,1,0.0232970195480725
278,2007.0,Ag,Simulated,1,0.0233246856217161
279,2008.0,Ag,Simulated,1,0.0234057933649055
280,2009.0,Ag,Simulated,1,0.0235196581161292
281,2010.0,Ag,Simulated,1,0.0236047956160452
282,2011.0,Ag,Simulated,1,0.0241212473833574
283,2012.0,Ag,Simulated,1,0.0236996570334007
284,2013.0,Ag,Simulated,1,0.0235204174981827
285,2014.0,Ag,Simulated,1,0.0237863884152752
286,2015.0,Ag,Simulated,1,0.0233827390058509
287,2016.0,Ag,Simulated,1,0.0233901639972143
288,2017.0,Ag,Simulated,1,0.0230614620740352
289,2018.0,Ag,Simulated,1,0.0226213388811479
290,2019.0,Ag,Simulated,1,0.0225171194083104
291,2001.0,Ag,Simulated,2,0.0233191856628772
292,2002.0,Ag,Simulated,2,0.0234118591400976
293,2003.0,Ag,Simulated,2,0.02379153386634
294,2004.0,Ag,Simulated,2,0.0239563373904474
295,2005.0,Ag,Simulated,2,0.0235938511575445
296,2006.0,Ag,Simulated,2,0.0233523277797578
297,2007.0,Ag,Simulated,2,0.0230431770599978
298,2008.0,Ag,Simulated,2,0.0231749497045805
299,2009.0,Ag,Simulated,2,0.0228705221875268
300,2010.0,Ag,Simulated,2,0.0227338155237811
301,2011.0,Ag,Simulated,2,0.0227692738605137
302,2012.0,Ag,Simulated,2,0.0225592515159081
303,2013.0,Ag,Simulated,2,0.0224157973872706
304,2014.0,Ag,Simulated,2,0.022120145857372
305,2015.0,Ag,Simulated,2,0.0218336378925613
306,2016.0,Ag,Simulated,2,0.0218350163453816
307,2017.0,Ag,Simulated,2,0.0216805461219125
308,2018.0,Ag,Simulated,2,0.0213786145583977
309,2019.0,Ag,Simulated,2,0.0211156751445048
310,2001.0,Ag,Simulated,3,0.0225973556581897
311,2002.0,Ag,Simulated,3,0.0227451178263676
312,2003.0,Ag,Simulated,3,0.0226559321538729
313,2004.0,Ag,Simulated,3,0.0232524930958439
314,2005.0,Ag,Simulated,3,0.0240696578967114
315,2006.0,Ag,Simulated,3,0.0244798427911125
316,2007.0,Ag,Simulated,3,0.0238389447307076
317,2008.0,Ag,Simulated,3,0.0227050722405019
318,2009.0,Ag,Simulated,3,0.0217570603036864
319,2010.0,Ag,Simulated,3,0.0219160274146135
320,2011.0,Ag,Simulated,3,0.021492240779948
321,2012.0,Ag,Simulated,3,0.0211185532652919
322,2013.0,Ag,Simulated,3,0.0209632445743455
323,2014.0,Ag,Simulated,3,0.0207372917202934
324,2015.0,Ag,Simulated,3,0.0203959498358881
325,2016.0,Ag,Simulated,3,0.0203261770950447
326,2017.0,Ag,Simulated,3,0.0200173807090888
327,2018.0,Ag,Simulated,3,0.0202100094039725
328,2019.0,Ag,Simulated,3,0.019611420153047
329,2001.0,Ag,Simulated,4,0.0261483755326371
330,2002.0,Ag,Simulated,4,0.0255973679497475
331,2003.0,Ag,Simulated,4,0.0259792567947904
332,2004.0,Ag,Simulated,4,0.0265748106942426
333,2005.0,Ag,Simulated,4,0.0266032592260244
334,2006.0,Ag,Simulated,4,0.026117545395868
335,2007.0,Ag,Simulated,4,0.0263888456902716
336,2008.0,Ag,Simulated,4,0.025923258248287
337,2009.0,Ag,Simulated,4,0.0263376134281393
338,2010.0,Ag,Simulated,4,0.0262116178945723
339,2011.0,Ag,Simulated,4,0.0260648755585379
340,2012.0,Ag,Simulated,4,0.0261367201904259
341,2013.0,Ag,Simulated,4,0.025651549015022
342,2014.0,Ag,Simulated,4,0.025382874916082
343,2015.0,Ag,Simulated,4,0.0256132488322595
344,2016.0,Ag,Simulated,4,0.0250619475399396
345,2017.0,Ag,Simulated,4,0.0248688201521028
346,2018.0,Ag,Simulated,4,0.024813511707017
347,2019.0,Ag,Simulated,4,0.0247905788391314
348,2001.0,Ag,Simulated,5,0.0244725598299735
349,2002.0,Ag,Simulated,5,0.0242627049507207
350,2003.0,Ag,Simulated,5,0.0242841125048495
351,2004.0,Ag,Simulated,5,0.0239742360023687
352,2005.0,Ag,Simulated,5,0.0239089746300619
353,2006.0,Ag,Simulated,5,0.0238841201008675
354,2007.0,Ag,Simulated,5,0.0236668191315842
355,2008.0,Ag,Simulated,5,0.0234640643151954
356,2009.0,Ag,Simulated,5,0.0235247518678966
357,2010.0,Ag,Simulated,5,0.0232838339310179
358,2011.0,Ag,Simulated,5,0.0233513142924309
359,2012.0,Ag,Simulated,5,0.0229319237097144
360,2013.0,Ag,Simulated,5,0.0228291861500212
361,2014.0,Ag,Simulated,5,0.022832382829348
362,2015.0,Ag,Simulated,5,0.0227800759829242
363,2016.0,Ag,Simulated,5,0.0226050252376147
364,2017.0,Ag,Simulated,5,0.0227241118127272
365,2018.0,Ag,Simulated,5,0.0225300981987825
366,2019.0,Ag,Simulated,5,0.0223933254980679
367,2001.0,Ag,Simulated,6,0.0273302240650221
368,2002.0,Ag,Simulated,6,0.0255719030627335
