,"Collection rate, transport","Collection rate, other sectors",Recycling input rate
0.01,0.2506980172062711,0.7520940516188133,0.55
0.02,0.3123469293745792,0.9370407881237375,0.55
0.03,0.9074046185309931,0.9475838993078385,0.55
0.04,0.9392944215587352,0.9392944215587352,0.4799762773541189
0.05,0.9374861042847376,0.9374861042847376,0.4228490330444974
Copper,0.796870516811802,0.948302545833873,0.55
