,Original,Normal-transformed
0,0.0848419005155245,-1.3732205242060933
1,0.0246397030510444,-1.966166280796935
2,0.0669392142597711,-1.4989815113658695
3,0.0833986981409425,-1.3825679034550793
4,0.0141703562470393,-2.192537582213939
5,0.0078921546174358,-2.413865005564223
6,0.0485849698571326,-1.6587313473763312
7,0.0466914371431221,-1.6778167710340297
8,0.0069212313201203,-2.4613257340519707
9,0.0237296911398814,-1.9821774616862564
10,0.0607927775416376,-1.548152622329311
11,0.0342752921046671,-1.8213703164028066
12,0.067830024027067,-1.4921491552363995
13,0.0109416868242813,-2.2923860956598214
14,0.0239498330822975,-1.978257489570839
15,0.0521225546091517,-1.6246127005953759
16,0.0755293588015668,-1.4358019050073902
17,0.074331441529433,-1.4442705620711733
18,0.0153078709653337,-2.162031582115133
19,0.1460188770353258,-1.0536618655112366
20,0.0155462817563806,-2.1558860564478275
21,0.0095995191086104,-2.3416436087616326
22,0.1035486983408675,-1.261587110373225
23,0.0210787705878012,-2.031961623462034
24,0.0238430340836747,-1.9801554131875008
