,Commodity,Year,Construction,Electrical,Jewelry,Other,Bar and coin,Industrial,Transport
0,Ag,2001.0,955.7640760915353,0.0016430809169398482,1019.6587430769597,101.6651727827374,952.6976405242948,,
1,Ag,2002.0,913.6224506786825,0.0015702405340272257,974.4556538574394,97.15819443612955,910.4630509763501,,
2,Ag,2003.0,951.9672145430761,0.001642386548641982,1015.1929212895888,101.21520830332427,948.4246046474667,,
3,Ag,2004.0,978.1903011003692,0.0017024241733195507,1043.0942050433769,103.98735103624743,974.2347137422527,,
4,Ag,2005.0,1037.154618565063,0.0018009853813404817,1106.0254103058955,110.24336263005839,1032.5958621577597,,
5,Ag,2006.0,1088.4710730445297,0.001848064471763957,1160.9968798350872,115.68988137512933,1083.2347856729825,,
6,Ag,2007.0,1148.5612063114381,0.0018923773671575342,1225.6030049177614,122.07201484258367,1142.4287106901504,,
7,Ag,2008.0,1200.4009228805796,0.0019123427646548586,1281.8018758099042,127.5814028276161,1193.174226502859,,
8,Ag,2009.0,1247.3214530747723,0.001913495560325223,1333.3039520534658,132.57126195096873,1238.7560237166058,,
9,Ag,2010.0,1291.3219412690564,0.0019168065433089248,1382.4213572306053,137.24725799676935,1281.0740999992681,,
10,Ag,2011.0,1324.9550860949812,0.001923879460912329,1421.3646077798653,140.79703661740325,1312.6764039784605,,
11,Ag,2012.0,1364.187301657028,0.001957481494801627,1467.4241962316885,144.8710958246809,1349.2863699647964,,
12,Ag,2013.0,1403.6054450249724,0.00200077013737698,1515.0827722384847,148.8172397942188,1385.4215150846799,,
13,Ag,2014.0,1441.1745097368307,0.0020476572412113283,1562.4482294480852,152.30385095644843,1418.88546589739,,
14,Ag,2015.0,1475.1109497856332,0.0020989714258817455,1607.9430147979053,154.99577179387043,1447.7725047055571,,
15,Ag,2016.0,1509.9715430524898,0.002150880596659645,1656.9295562976436,157.23037609152297,1476.3806606982114,,
16,Ag,2017.0,1539.4706540362438,0.002169197764845599,1702.9513295483696,158.2391056734605,1498.3593615330362,,
17,Ag,2018.0,1566.9327319938266,0.002162745529056145,1750.1018209906779,158.3403930185848,1516.7683682243949,,
18,Ag,2019.0,1593.9290718401862,0.0021571251497927288,1800.6618540576817,157.75748422894662,1532.9221771578668,,
19,Al,2001.0,1.190489695962804,1.6087803938855123,,2.510297121718005,,1.8347198141652328,4.5854565104347556
20,Al,2002.0,1.2266458390367503,1.6574414907597248,,2.5862265723050752,,1.8902149451063213,4.7241537150469055
21,Al,2003.0,1.2688986719594384,1.7144078560665093,,2.6750624033607386,,1.9551652249185834,4.886884503431968
22,Al,2004.0,1.3810788155294789,1.853600671696706,,2.911367451532124,,2.0985153064294155,5.265247853266901
23,Al,2005.0,1.3983027916366875,1.8776783757381452,,2.947496050928428,,2.12748592527838,5.338264871363486
24,Al,2006.0,1.4805571670593427,1.9833298934429096,,3.120645497172132,,2.242091881828463,5.637852122916353
25,Al,2007.0,1.5363289796407893,2.0572438225206113,,3.2378725171237246,,2.321416562378282,5.849106357395955
26,Al,2008.0,1.6042997558704353,2.1459718597869477,,3.3807577688841666,,2.410299459959936,6.0912219243134595
27,Al,2009.0,1.6833284108839612,2.24376342583695,,3.5470569364803812,,2.5170635338533316,6.376820895339932
