,,,Head Grade (%)
610,Copper,33,0.499
610,Copper,30,0.5
610,Copper,20,0.5
610,Copper,26,0.5
610,Copper,27,0.5
610,Copper,47,0.5
610,Copper,11,0.5
610,Copper,8,0.5
610,Copper,36,0.5
610,Copper,49,0.5
610,Copper,9,0.5
610,Copper,0,0.5
610,Copper,34,0.5
610,Copper,43,0.5
610,Copper,32,0.5
610,Copper,12,0.5
610,Copper,31,0.5
610,Copper,23,0.5
610,Copper,2,0.5
610,Copper,41,0.5
610,Copper,15,0.5
610,Copper,22,0.5
610,Copper,24,0.5
610,Copper,18,0.5
610,Copper,7,0.5
527,Copper,44,0.44
527,Copper,25,0.42
527,Copper,38,0.56
527,Copper,17,0.42
527,Copper,37,0.38
527,Copper,39,0.39
527,Copper,16,0.43
527,Copper,46,0.4
527,Copper,10,0.42
527,Copper,21,0.43
527,Copper,35,0.43
527,Copper,1,0.43
527,Copper,19,0.43
527,Copper,40,0.41
527,Copper,5,0.4
527,Copper,45,0.28
527,Copper,48,0.34
527,Copper,4,0.33
527,Copper,29,0.36
527,Copper,6,0.34
527,Copper,28,0.36
527,Copper,13,0.36
527,Copper,3,0.35
527,Copper,14,0.37
527,Copper,42,0.35
527,Copper,33,0.34
527,Copper,30,0.34
527,Copper,20,0.34
527,Copper,26,0.34
527,Copper,27,0.34
527,Copper,47,0.34
527,Copper,11,0.34
527,Copper,8,0.34
527,Copper,36,0.34
527,Copper,49,0.34
527,Copper,9,0.34
527,Copper,0,0.34
527,Copper,34,0.34
527,Copper,43,0.34
527,Copper,32,0.34
527,Copper,12,0.34
527,Copper,31,0.34
527,Copper,23,0.34
527,Copper,2,0.34
527,Copper,41,0.34
527,Copper,15,0.34
527,Copper,22,0.34
527,Copper,24,0.34
527,Copper,18,0.34
527,Copper,7,0.34
278,Molybdenum,17,0.301
278,Molybdenum,37,0.271
278,Molybdenum,39,0.302
278,Molybdenum,16,0.262
278,Molybdenum,46,0.24
278,Molybdenum,10,0.26
278,Molybdenum,21,0.24
278,Molybdenum,35,0.24
278,Molybdenum,1,0.24
278,Molybdenum,19,0.25
278,Molybdenum,40,0.23
278,Molybdenum,5,0.22
278,Molybdenum,45,0.23
278,Molybdenum,48,0.23
278,Molybdenum,4,0.23
278,Molybdenum,29,0.25
278,Molybdenum,6,0.25
278,Molybdenum,28,0.24
278,Molybdenum,13,0.23
278,Molybdenum,3,0.217353
278,Molybdenum,14,0.198746
278,Molybdenum,42,0.185329
278,Molybdenum,33,0.173494
278,Molybdenum,30,0.168695
278,Molybdenum,20,0.168887
278,Molybdenum,26,0.19111
278,Molybdenum,27,0.2142
278,Molybdenum,47,0.2142
278,Molybdenum,11,0.2142
278,Molybdenum,8,0.2142
278,Molybdenum,36,0.2142
278,Molybdenum,49,0.2142
278,Molybdenum,9,0.2142
278,Molybdenum,0,0.2142
278,Molybdenum,34,0.2142
278,Molybdenum,43,0.2142
278,Molybdenum,32,0.2142
278,Molybdenum,12,0.2142
278,Molybdenum,31,0.2142
278,Molybdenum,23,0.2142
278,Molybdenum,2,0.2142
278,Molybdenum,41,0.2142
278,Molybdenum,15,0.2142
278,Molybdenum,22,0.2142
278,Molybdenum,24,0.2142
278,Molybdenum,18,0.2142
24,Gold,44,0.0002438685
24,Gold,25,0.00022559269999999999
24,Gold,38,0.0002229468
24,Gold,17,0.00016575310000000002
24,Gold,37,0.0001687732
24,Gold,39,0.000181074
24,Gold,16,0.00020763569999999998
24,Gold,46,0.0001439976
320,Molybdenum,13,0.095753
320,Molybdenum,3,0.173267
320,Molybdenum,14,0.171119
320,Molybdenum,42,0.213651
320,Molybdenum,33,0.221914
320,Molybdenum,30,0.221914
320,Molybdenum,20,0.177155
320,Molybdenum,26,0.200466
320,Molybdenum,27,0.199235
320,Molybdenum,47,0.199235
320,Molybdenum,11,0.199235
320,Molybdenum,8,0.199235
320,Molybdenum,36,0.199235
320,Molybdenum,49,0.199235
320,Molybdenum,9,0.199235
320,Molybdenum,0,0.199235
320,Molybdenum,34,0.199235
320,Molybdenum,43,0.199235
320,Molybdenum,32,0.199235
320,Molybdenum,12,0.199235
320,Molybdenum,31,0.199235
320,Molybdenum,23,0.199235
320,Molybdenum,2,0.199235
320,Molybdenum,41,0.199235
320,Molybdenum,15,0.199235
320,Molybdenum,22,0.199235
320,Molybdenum,24,0.199235
320,Molybdenum,18,0.199235
320,Molybdenum,7,0.199235
496,Gold,40,6.1e-05
496,Gold,5,6.2e-05
