,,,Actual,Predicted,Commodity
0,Copper,885,-4.566863141304679,-4.991551870514735,Copper
0,Copper,192,-4.13484675939813,-5.3506695102276165,Copper
0,Copper,445,-5.2532200363878845,-6.590150145199854,Copper
0,Copper,583,-7.584735305125588,-7.119386962687318,Copper
0,Copper,131,-5.22862442786985,-5.6634080239552755,Copper
0,Copper,486,-6.522726032677953,-5.983508828395056,Copper
0,Copper,540,-6.5372129334632385,-6.048943099851851,Copper
0,Copper,92,-5.3610305565720795,-6.415808744780306,Copper
0,Copper,84,-4.11861634500641,-5.63258802110394,Copper
0,Copper,144,-5.496102115883511,-5.8537871455352075,Copper
0,Copper,47,-4.896151271983633,-6.716777592028407,Copper
0,Copper,576,-4.681180758678403,-5.712702234365896,Copper
0,Copper,2,-7.287315737694756,-5.83200953146536,Copper
0,Copper,119,-7.259599589156093,-6.888317911857865,Copper
0,Copper,354,-4.253940317379701,-6.074109153742156,Copper
0,Copper,537,-6.1376580000070495,-6.266691740564309,Copper
0,Copper,68,-4.1887472831226,-6.752030596995668,Copper
0,Copper,639,-5.776693317501391,-6.219460087298517,Copper
0,Copper,115,-5.628255559564949,-5.492629969256814,Copper
0,Copper,828,-6.14803348189154,-5.918810202756289,Copper
0,Copper,120,-7.823069207382424,-5.982573238662658,Copper
0,Copper,841,-6.463330343396752,-5.745333859095007,Copper
0,Copper,552,-6.23773608141059,-5.8189430346978614,Copper
0,Copper,824,-4.638856993543761,-6.651176816645955,Copper
0,Copper,431,-6.635356802252668,-6.7248946993112035,Copper
0,Copper,652,-3.7322099149190966,-5.548169857485471,Copper
0,Copper,622,-5.218128879665641,-6.294928395717522,Copper
0,Copper,321,-5.952445859022395,-6.4858216038362055,Copper
0,Copper,346,-6.055582388392084,-6.5049959103644905,Copper
0,Copper,46,-4.980239366613684,-6.150378678485941,Copper
0,Copper,737,-9.187594363795894,-8.468678704316593,Copper
0,Copper,378,-8.230794071721284,-6.845391035552593,Copper
0,Copper,44,-5.07252610960865,-5.121408115046172,Copper
0,Copper,249,-4.447217213095345,-4.860752460359745,Copper
0,Copper,875,-3.1077324336477066,-4.849987810073781,Copper
0,Copper,877,-6.909195047093857,-6.663930196111695,Copper
0,Copper,452,-5.057108796923997,-5.125876134524676,Copper
0,Copper,818,-3.769711385423233,-5.133257127009623,Copper
0,Copper,261,-6.1530541563490475,-6.566472733157104,Copper
0,Copper,860,-5.107258270061927,-5.511370101096437,Copper
0,Copper,226,-5.099622197042268,-6.550997530697572,Copper
0,Copper,45,-5.281576175046927,-6.346673118233526,Copper
0,Copper,438,-6.180903534938911,-6.910041903593129,Copper
0,Copper,599,-5.048588873367579,-5.172689189387093,Copper
0,Copper,460,-6.747485803652065,-6.345880081027306,Copper
0,Copper,886,-5.213250232541157,-4.426659010510653,Copper
0,Copper,17,-7.591852624022164,-6.5502689817928115,Copper
0,Copper,895,-6.9335905564950275,-6.844219543562124,Copper
0,Copper,607,-7.118863083176809,-6.953287146652176,Copper
0,Copper,116,-5.348022180548791,-6.503003232199017,Copper
0,Copper,355,-6.528186104118429,-6.4818125535960744,Copper
0,Copper,738,-6.369085419439054,-6.17446170552775,Copper
0,Copper,763,-7.093477241377004,-6.854802612167633,Copper
0,Copper,578,-6.102135101914646,-6.023618127413171,Copper
0,Copper,250,-5.3487869025733294,-5.72542822005841,Copper
0,Copper,37,-7.228742899506819,-7.402781843360472,Copper
0,Copper,800,-4.6917697402126,-5.073575139130893,Copper
0,Copper,714,-7.161506034969952,-6.8475212008619115,Copper
0,Copper,35,-7.694296559533663,-5.689424101788019,Copper
0,Copper,49,-4.6867574398756044,-6.7405363031734895,Copper
0,Copper,814,-4.8283137373023015,-4.810503623493174,Copper
0,Copper,696,-5.866009454796727,-6.067567230845285,Copper
0,Copper,198,-5.844583735344669,-6.1297819594844825,Copper
0,Copper,432,-5.916752231290896,-5.845642733877614,Copper
0,Copper,506,-7.73073512267651,-6.2339484394012485,Copper
0,Copper,118,-3.6027976034445173,-5.728770927164646,Copper
0,Copper,821,-6.752007952396047,-7.22206741933811,Copper
0,Copper,30,-6.440089325408801,-6.846649662886618,Copper
0,Copper,179,-6.732511645024672,-6.677531085925722,Copper
0,Copper,200,-6.965848889340351,-5.648031769185151,Copper
0,Copper,273,-7.439952741698684,-6.756268555006347,Copper
0,Copper,442,-7.160507103458527,-5.679663056644538,Copper
0,Copper,815,-6.346399618947745,-6.460368821502897,Copper
0,Copper,339,-6.102851962710652,-6.367250617474954,Copper
0,Copper,137,-5.96055143161725,-6.386757360451264,Copper
0,Copper,679,-6.791878712855774,-6.832494711527261,Copper
0,Copper,601,-7.91998845571544,-6.512515505221758,Copper
0,Copper,60,-7.490551387150867,-6.580343629334995,Copper
0,Copper,670,-8.564629784896452,-7.455792581908031,Copper
0,Copper,25,-7.345590697920755,-6.665862930019367,Copper
0,Copper,907,-5.809897871656495,-6.850940417029967,Copper
0,Copper,574,-6.8100830150632525,-6.549246354523839,Copper
0,Copper,329,-6.204279046574892,-6.646324069391785,Copper
0,Copper,75,-8.028577815941235,-6.757625811763486,Copper
0,Copper,611,-6.5837736364377815,-6.641850670974197,Copper
0,Copper,856,-5.972496275466841,-6.8990479344877755,Copper
0,Copper,240,-6.631965185952429,-6.921466633664592,Copper
0,Copper,362,-6.316248368181115,-7.154834034448467,Copper
0,Copper,512,-6.577697192850876,-6.568582531628563,Copper
0,Copper,350,-6.4357340196682395,-6.413429070987066,Copper
0,Copper,719,-7.442387981613323,-6.214647337370383,Copper
0,Copper,70,-6.202228047429201,-7.406094945491637,Copper
0,Copper,172,-7.248119914502027,-6.835868424466342,Copper
0,Copper,245,-6.878360754232617,-6.845474661964368,Copper
0,Copper,863,-7.334283819979032,-6.614605149489063,Copper
0,Copper,632,-6.892390841855636,-5.85473123301664,Copper
0,Copper,437,-6.834144751962304,-6.630631485029796,Copper
0,Copper,271,-6.907214399642717,-6.655297148940239,Copper
