,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,CoV-train,,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,CoV-parameters,All
,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,,Ag,Al,Au,Cu,Ni,Pb,Sn,Fe,Zn,
Scrap spread elasticity to SD,0.6969337182199239,0.4850738654167886,0.848642772728996,0.23872448797528625,0.28082240789722407,0.3311220141080376,0.3165636980671153,0.42135449503618094,0.0703093671504915,,0.6888658301283125,0.8261646943231655,0.7012994025383635,0.9561540387346159,0.6088446737994047,0.9420415630963391,0.8097912056562616,0.9537394087171953,0.9340191661020276,
Scrap spread elasticity to price,0.5710255006017603,0.2987196077168172,0.49441157861273466,0.5725461306122812,0.7056580224697052,0.33764322316454826,0.4964449059049303,0.40516875863709473,0.35949197384169335,,0.8988532679787792,0.8218932637205724,0.8822272221840566,0.7806771602820579,0.8536121410314605,0.9004010887800642,0.8066547334435511,0.8055013432401736,0.7766019812597156,
Secondary refinery CU elasticity to TCRC,0.5845652572331691,,0.5142103271507411,1.33604573813133,0.6983150857015491,0.6332655282620703,0.5079250361542073,0.20177308277029277,0.29883293140590117,,0.8905452935729364,,0.7880884335290388,0.8086007647780946,0.7726325264882565,0.7674267276618607,0.8264432607626884,0.9256906446481067,0.9896505815158335,
Secondary refinery CU elasticity to price,0.48070913437157825,,0.4482253963097047,0.7769373054217069,0.3048058612650633,0.9979333542333102,0.7001338359964375,0.3503217717714568,0.7601900255883698,,0.9089541969810901,,0.8749687608364389,0.8303366870121069,0.8314966765686108,0.8636256614225717,0.9530256626413345,0.8520952185471509,0.8376270269639581,
TCRC elasticity to SD,0.1536869094532491,0.1478525005419801,0.35888380207979065,0.005218311290102826,0.7740740803552887,0.4290614688922235,0.18920795850255054,0.7730920702793345,0.4100745167496253,,0.7192730942886317,0.9299104500429312,0.9709775128792576,1.1861511377640361,1.0161554231766659,0.755465374428518,0.8460801586440513,0.9298046131326246,0.6950724798383783,
TCRC elasticity to price,0.338336479773587,0.4877603267827249,0.7900816385125796,0.22451264113792851,0.05281935507814273,0.11276818819038952,0.24859693794670432,0.8740598110862401,0.3678371148735053,,0.7703304956269041,0.9669186139657875,0.6232153351162317,0.8198953332400402,0.8535464747243681,0.8076185005182441,0.8599774149949462,0.8401253765677537,0.7659204449140788,
,,,,,,,,,,,,,,,,,,,,
Mine production,0.44606754948638516,0.4596685477429156,0.31071504158563773,0.6581843911930978,0.10217525598039068,1.460076239779535,1.0030682281750456,0.6069682681804658,0.48003269056720393,,0.44606754948638516,0.4596685477429156,0.31071504158563773,0.6581843911930978,0.10217525598039068,1.460076239779535,1.0030682281750456,0.6069682681804658,0.48003269056720393,
Refined metal price,0.6932460888743885,0.3780343665790099,0.23227342780865903,0.9483268933656824,0.22007180766521023,0.42832827207222346,0.6179906820664002,0.9928408009248934,0.42101046115107993,,0.6932460888743885,0.3780343665790099,0.23227342780865903,0.9483268933656824,0.22007180766521023,0.42832827207222346,0.6179906820664002,0.9928408009248934,0.42101046115107993,
Total demand,1.376674608937592,0.10073154515278637,0.18164533044185432,0.14284316272332762,0.1053166228264826,0.4242478038213807,0.1768517028858724,0.4700159972704523,0.1767476662475743,,1.376674608937592,0.10073154515278637,0.18164533044185432,0.14284316272332762,0.1053166228264826,0.4242478038213807,0.1768517028858724,0.4700159972704523,0.1767476662475743,
