,Static lifetime,Opening probability,Price
Ag,18.867924528301888,0.02699485961258872,696540.9561339107
Al,83.79888268156425,0.09141846466880603,1631.8233759173238
Au,16.060606060606062,0.03564377114047641,46212040.90132334
Cu,42.64705882352941,0.07659711584569878,7025.439854825345
Ni,36.015325670498086,0.05074036814954892,14339.024325182158
Pb,18.64406779661017,0.13632406228008065,2211.3187431516003
Sn,14.527027027027026,0.27355938651891437,21986.64512927591
Steel,55.26315789473684,0.2732884756396339,703.6363737766308
Zn,19.68503937007874,0.26045734103805196,2748.893335669072
