,Commodity,Year,Construction,Electrical,Jewelry,Other,Bar and coin,Industrial,Transport
0,Ag,2001.0,12.74621718563299,3.0960166707233726e-05,4.629797681668548,1.5656628523882072,4.830894206874246,,
1,Ag,2002.0,13.084851378547208,3.272712267845344e-05,5.130720133325789,1.6283051535347481,4.366436416614584,,
2,Ag,2003.0,12.973324368718474,3.264499330548087e-05,5.486262152854128,1.6144874728814693,3.5417625789089917,,
3,Ag,2004.0,13.014180275482476,3.2104296712621144e-05,5.902407653414656,1.6077064145995006,3.4306131888970177,,
4,Ag,2005.0,13.038804758525117,3.225555647954751e-05,6.6470812111259265,1.5893764112783866,3.1910160803931613,,
5,Ag,2006.0,13.244697395731688,3.1621283702817106e-05,7.479679030466069,1.581094848687154,2.785655034098563,,
6,Ag,2007.0,13.06377583568106,3.106635364506691e-05,8.350817924238344,1.5759694830739117,2.253147724649596,,
7,Ag,2008.0,12.55694343437446,3.0928845381254704e-05,9.362075164376659,1.5549993574053693,1.9861861895751691,,
8,Ag,2009.0,11.84128156311732,3.120171805759753e-05,10.359569470669584,1.496998707990385,1.545216530810499,,
9,Ag,2010.0,11.484610897047398,3.17479964321435e-05,11.369527245624937,1.5333899220513496,1.409404206441488,,
10,Ag,2011.0,11.64340958738277,3.238417694801153e-05,11.970754193766702,1.5566718993030977,1.42471276962032,,
11,Ag,2012.0,11.784640076032591,3.293705566381839e-05,12.36868804520964,1.565729731339003,1.6163209368608096,,
12,Ag,2013.0,12.04734872366519,3.400115717232949e-05,12.48284806768053,1.5765463626412832,1.4505733239330652,,
13,Ag,2014.0,12.44593446772227,3.4991516970391264e-05,12.643428555986853,1.5945986699714199,1.421452155433355,,
14,Ag,2015.0,12.69269515772774,3.474087886007276e-05,12.60695318704187,1.6142771290256304,1.3592401562461869,,
15,Ag,2016.0,12.987496076546192,3.473464419752113e-05,12.536825726321734,1.6330009160304013,1.2731963773762183,,
16,Ag,2017.0,13.338705502887137,3.5010717249462844e-05,12.66245773833591,1.6660674771608124,1.1496396727040332,,
17,Ag,2018.0,13.595807053941241,3.514512963996104e-05,12.873394021235121,1.695308316376167,1.1067473951872102,,
18,Ag,2019.0,13.846270632267922,3.5193057994159456e-05,13.272748791024172,1.723639990941411,1.063135960259132,,
19,Al,2001.0,9.679203060122344,4.822981065842395,,8.188707910934294,,4.479126837255681,9.522931037435791
20,Al,2002.0,10.021208511679726,5.119134985738549,,8.584723655253331,,4.700342219564647,10.450135948336202
21,Al,2003.0,10.331406072138153,5.29099604171951,,8.82996936764965,,5.0715442720933215,10.874676533679564
22,Al,2004.0,10.896959620567916,5.497946768549192,,9.261869211066301,,5.385904114280899,11.760226109205371
23,Al,2005.0,11.753310698762293,5.957049178961824,,9.83903478261846,,5.744520646221709,12.604987147206042
24,Al,2006.0,12.709759589441367,6.275657375606899,,10.415542474543404,,6.18376594827364,13.472309984245427
25,Al,2007.0,13.454872445319165,6.631565673818076,,11.122105360170927,,6.677824923387895,14.849801611796417
26,Al,2008.0,13.699232612907593,6.940228084139015,,11.519043302590035,,6.811508471617423,14.978525473613933
27,Al,2009.0,13.878058720900281,7.324000991236367,,11.658875453225871,,6.422730628929586,15.265302728662911
28,Al,2010.0,14.471099575224573,7.898556277074586,,12.641242238571996,,7.274824365850661,18.115487208637646
29,Al,2011.0,15.373382313800098,8.384272265710146,,13.345084223607282,,7.698575188967543,18.83650288785027
30,Al,2012.0,16.266114494926338,8.872726792155147,,13.968535130073276,,7.962674936153606,20.25969283413183
31,Al,2013.0,17.403210508555606,9.562948958848887,,14.710859375205937,,8.271190287947803,21.55277825988898
32,Al,2014.0,18.688814125178514,10.203121971181771,,15.45272596828815,,8.72676273632199,22.057318185522693
33,Al,2015.0,19.705732883097628,10.553430367686062,,16.283785226386545,,9.13585489277274,22.092713348496353
34,Al,2016.0,20.93307697013884,10.939792287403618,,17.166650680917428,,9.594153710467946,23.583116978267505
35,Al,2017.0,22.33956282041629,11.358806328672935,,18.114585871036578,,10.246952522746081,24.508538072952884
36,Al,2018.0,23.522498967392746,11.74340975313346,,19.014343487189368,,10.862982930491986,25.50938418237943
37,Al,2019.0,24.779111333568753,12.08289035019671,,19.968469953504663,,11.517742937213226,26.46042792229283
38,Au,2001.0,0.006127360213177614,441.17048681120747,1111.7500403610572,480.46448877642257,1694.6088566910998,,
39,Au,2002.0,0.005768329794894588,426.0105231125859,1141.4286066266916,458.0266138845933,1416.2700925271672,,
40,Au,2003.0,0.005703105090476423,422.4083405919607,1252.8985290178068,451.91395922943417,1163.4990950095657,,
41,Au,2004.0,0.005813020115838169,423.9050291070197,1370.4052929464415,457.9626490390784,1149.5057374779483,,
42,Au,2005.0,0.005890788727729955,431.471138693389,1564.6666953041158,457.13972108539724,1084.7113897008273,,
43,Au,2006.0,0.006052062280609324,431.493653176403,1787.2665281829734,459.7323289409835,969.2680969567214,,
44,Au,2007.0,0.006067028302999365,431.754034033703,2032.319920459208,464.88366789245856,807.4337098098634,,
45,Au,2008.0,0.005897661501395193,431.58372542695207,2299.8690935549234,459.84994312425687,721.7432801333998,,
46,Au,2009.0,0.00563880101697745,430.2659460946198,2586.172716682518,439.503385478312,583.4628826902152,,
47,Au,2010.0,0.005521950671064528,435.94916722335057,2806.0710678768296,447.6190974221643,537.7745096622707,,
48,Au,2011.0,0.00558173642114157,440.2557087960781,2952.399270152477,449.5209906034381,533.5845241301444,,
49,Au,2012.0,0.0056234683038923665,443.53841756651303,3034.4758196506896,447.84713448875345,590.6795332836527,,
50,Au,2013.0,0.005709396936589088,453.6331590922696,3042.120295800029,447.3827617620932,534.7520690309746,,
51,Au,2014.0,0.0058683015575203955,463.19732538089863,3067.5302104205875,449.69095946179937,517.0874703546629,,
52,Au,2015.0,0.00591217759743056,457.765979877386,3027.1452310133004,452.6652970713769,493.8865214289265,,
53,Au,2016.0,0.005980629306306656,451.7920196042243,2984.2598490860805,454.30997923657065,465.05504062007384,,
54,Au,2017.0,0.006131603437008144,450.4906041385064,2993.4873268620167,460.40793017688105,418.3855353090012,,
55,Au,2018.0,0.006226778099852936,449.07501938389464,3028.5762834041197,465.99974736859787,405.6518218037747,,
56,Au,2019.0,0.006305570910560718,444.02860186609615,3100.928414501728,470.34410901848275,387.8023056168205,,
57,Cu,2001.0,5.5894081546439125,4.918679176086645,,5.032330475231071,,2.1686903640018382,2.357891830036535
58,Cu,2002.0,5.717697352967754,5.15188294050037,,5.211853062474629,,2.255878643912737,2.5632417306180413
59,Cu,2003.0,5.717506118503019,5.159516313485688,,5.196114430480859,,2.3820443461293532,2.599778119319729
60,Cu,2004.0,5.864392749504494,5.220893272041218,,5.302823915881563,,2.4605140431505568,2.7372694988886015
61,Cu,2005.0,6.073178860791869,5.434184415010782,,5.405830059025199,,2.521345132842658,2.8193371436414276
62,Cu,2006.0,6.279485044167222,5.488557492800943,,5.470999289480847,,2.59757151412464,2.8910972333004388
63,Cu,2007.0,6.288247823367201,5.489558484217221,,5.523273101915305,,2.6545010503753486,3.025192650463335
64,Cu,2008.0,6.136617125799696,5.494309175796156,,5.468372273491822,,2.593050245801829,2.9259421332054254
65,Cu,2009.0,6.014601629644477,5.566986532651212,,5.321575863074283,,2.365725974487185,2.902542530363323
66,Cu,2010.0,6.094652220254105,5.8116493502378495,,5.583015189832777,,2.588101384757235,3.346179284354119
67,Cu,2011.0,6.36081325110343,6.049737152801728,,5.778813218020728,,2.6916083786929836,3.403347275602901
68,Cu,2012.0,6.631959654048118,6.30195008735057,,5.9543908295727155,,2.7422056896051705,3.587691532025951
69,Cu,2013.0,6.994489448125912,6.693390959521186,,6.182321700380593,,2.807505019852478,3.775750923656816
70,Cu,2014.0,7.3965342985137505,7.0288585166241155,,6.394751414260566,,2.916869488427284,3.79663016589113
71,Cu,2015.0,7.616481437370385,7.1148932345895055,,6.592431630921694,,2.983435612937574,3.723939104231675
72,Cu,2016.0,7.8961188460239455,7.194793755457354,,6.78885673073585,,3.059665353041633,3.895873831527978
73,Cu,2017.0,8.24406408206155,7.290595678989723,,6.999076884527937,,3.1925748879019764,3.959142096056636
74,Cu,2018.0,8.457603252445706,7.337357018130327,,7.154768782242195,,3.2963028123459774,4.025205167205392
75,Cu,2019.0,8.660830982714284,7.324996035273991,,7.301177370619304,,3.396064269391889,4.059599565192531
76,Ni,2001.0,303.31558825445427,203.5365078577208,,383.7872980438633,,471.2514861416949,284.65992529149054
77,Ni,2002.0,299.5802985702906,205.8255456209326,,383.77292441703133,,473.3664349797824,298.8176041207053
78,Ni,2003.0,302.3371478934368,208.02584707050738,,386.1372385070362,,504.6479533010956,305.93798252483043
79,Ni,2004.0,312.613716422705,212.21764232655897,,397.26635704833564,,525.4923064785031,324.7324135835863
80,Ni,2005.0,329.52745126563025,224.83776143302114,,412.2135457198065,,548.1169960789964,340.4456228683993
81,Ni,2006.0,352.24800741430477,234.79838162523086,,431.29658035475734,,583.8582170599719,360.9775931939225
82,Ni,2007.0,366.67822903022284,244.13221124394173,,452.6169831781219,,620.3031235563566,392.6960431406934
83,Ni,2008.0,367.7550793677199,251.0973093044581,,460.49239311632715,,622.7722404467106,390.31011866708144
84,Ni,2009.0,367.80416412664965,259.5325393700658,,457.17055687493735,,579.826250676451,395.17257391929775
85,Ni,2010.0,377.1601844877145,274.11289005627947,,485.2530072736145,,641.8118177917543,460.9880521020342
86,Ni,2011.0,394.82473437348557,286.17146866644134,,503.7224372276353,,669.6000322402556,470.13557281861165
87,Ni,2012.0,411.2024335927081,297.66345005587795,,518.2314853844643,,681.5263484916723,495.0773936947637
88,Ni,2013.0,432.915486894431,315.43226276939123,,536.8392782931631,,696.6311757019365,520.508843017051
89,Ni,2014.0,457.1027963430143,330.6317652040886,,554.2691264933305,,722.7671595959273,522.6399778126122
90,Ni,2015.0,470.9945574802565,334.93495196391416,,571.8447293010354,,739.8038807642303,513.1811971960913
91,Ni,2016.0,488.75006517230764,339.01283484757835,,589.5638052830175,,759.486275029534,537.507941912412
92,Ni,2017.0,511.88370538378973,344.5778740688519,,609.7797642634054,,794.8001908335502,547.7426653929531
93,Ni,2018.0,529.2299230973675,349.53078043612334,,628.3217809743081,,826.9520130187266,561.1676668747109
94,Ni,2019.0,544.9221827081312,350.9096818444596,,644.8849109741685,,856.5874168888398,568.8093561381476
95,Pb,2001.0,0.7900660782803496,1.34311233307659e-05,,0.4820911643754788,,0.9243785203891087,4.285450805831732
96,Pb,2002.0,0.8369754272679215,1.4593876774001542e-05,,0.5171648698158358,,0.99125840869059,4.8068659946959995
97,Pb,2003.0,0.8552593688383695,1.4955172415541676e-05,,0.5273581439477267,,1.0567759775803858,4.9498558645160005
98,Pb,2004.0,0.8985212182661046,1.547042271449548e-05,,0.5508517591328225,,1.1179823925481513,5.331275938277786
99,Pb,2005.0,0.9408054858611888,1.62700959032191e-05,,0.5681371232710746,,1.157647158636289,5.547579251321542
100,Pb,2006.0,0.9820662176377807,1.6532772071235344e-05,,0.5805314562576156,,1.2029700704856685,5.721131527482882
101,Pb,2007.0,0.9927451920064089,1.6681199585798814e-05,,0.5919579256143709,,1.2408771066994866,6.023148451054934
102,Pb,2008.0,0.9628876654175789,1.6637341915064038e-05,,0.5842067411540488,,1.2063272372231246,5.7947716162456295
103,Pb,2009.0,0.9448839859650496,1.7021868327416706e-05,,0.5730299953687759,,1.10232920763727,5.721318477557663
104,Pb,2010.0,0.9612608794171613,1.791991509605253e-05,,0.6064392608296993,,1.2189479098565077,6.6280969986340885
105,Pb,2011.0,0.9822419651473451,1.8296138747194315e-05,,0.6157420280218983,,1.2405923876897973,6.6375346274766
106,Pb,2012.0,1.0180406795862729,1.896294244757907e-05,,0.6310968560268011,,1.2570598941894569,6.9988366517426055
107,Pb,2013.0,1.0671228134593471,2.0025005345027642e-05,,0.6509398058681187,,1.2794860831195032,7.295298664723934
108,Pb,2014.0,1.1226186569247114,2.092740609647368e-05,,0.6696404329201209,,1.3225050553900655,7.314572656333165
109,Pb,2015.0,1.1720632032442844,2.143122698908692e-05,,0.6984667798756213,,1.371158331527131,7.254369033057642
110,Pb,2016.0,1.2267085069448807,2.1886150013546087e-05,,0.7253448960082363,,1.4188773077085999,7.634493817793665
111,Pb,2017.0,1.293445371515874,2.2446532398326944e-05,,0.7560663777571517,,1.4973726228025006,7.839766581683901
112,Pb,2018.0,1.3542237578446914,2.3072890620240292e-05,,0.7890839266940941,,1.5784924171624592,8.11348465486294
113,Pb,2019.0,1.4099720873380122,2.345139902465842e-05,,0.8186537368073248,,1.6543549128898647,8.323620917932228
114,Sn,2001.0,50.941535897756644,73.34581008231842,,65.02031925559848,,68.6616168373553,22.725717926971143
115,Sn,2002.0,52.32764395123406,77.19664363026094,,67.62512508804532,,71.58678148561556,24.770812513306144
116,Sn,2003.0,52.693361818956014,77.89294241563017,,67.91806573693313,,75.7668977550952,25.23739021681884
117,Sn,2004.0,54.21258839067812,78.99876848725619,,69.50423750134055,,78.51330858322088,26.645063811551722
118,Sn,2005.0,56.13209921991022,82.19110726146108,,70.85627932300616,,80.44219920753503,27.437089446509543
119,Sn,2006.0,58.503422332108975,83.57714233539079,,72.2835015167252,,83.53791791331759,28.33300467629901
120,Sn,2007.0,59.42020893101324,84.7718060160718,,74.0240365400223,,86.61802661653395,30.055869799145544
