,Variable,Commodity,Year,Historical or simulated,Scenario,Value
113,Total demand,Cu,2005,Simulated,97,20.83361977625873
114,Total demand,Cu,2005,Simulated,512,22.856108161850965
115,Total demand,Cu,2005,Simulated,527,22.014153041176883
116,Total demand,Cu,2005,Simulated,560,23.851557994928864
117,Total demand,Cu,2005,Simulated,266,22.490163488161695
118,Total demand,Cu,2005,Simulated,58,23.476931555977337
119,Total demand,Cu,2005,Simulated,262,23.010223822032984
120,Total demand,Cu,2005,Simulated,336,22.482079648953544
121,Total demand,Cu,2005,Simulated,171,24.27039764430969
122,Total demand,Cu,2005,Simulated,220,22.253607585736916
123,Total demand,Cu,2005,Simulated,277,23.053636514647526
124,Total demand,Cu,2005,Simulated,193,21.131244376434935
125,Total demand,Cu,2005,Simulated,157,18.31541945959173
126,Total demand,Cu,2005,Simulated,216,20.531948060944636
127,Total demand,Cu,2005,Simulated,68,19.896234643938655
128,Total demand,Cu,2005,Simulated,345,22.68602223090704
129,Total demand,Cu,2005,Simulated,244,22.34566387175576
130,Total demand,Cu,2006,Historical,Historical,22.009
131,Total demand,Cu,2006,Simulated,214,22.021386651061743
132,Total demand,Cu,2006,Simulated,204,23.225611841378655
133,Total demand,Cu,2006,Simulated,226,23.22199868868359
134,Total demand,Cu,2006,Simulated,207,24.17473193319583
135,Total demand,Cu,2006,Simulated,173,22.49452518760832
136,Total demand,Cu,2006,Simulated,329,21.844973013262475
137,Total demand,Cu,2006,Simulated,187,23.0440500633214
138,Total demand,Cu,2006,Simulated,379,21.814038865083962
139,Total demand,Cu,2006,Simulated,97,21.713446760890683
140,Total demand,Cu,2006,Simulated,512,23.20720706783443
141,Total demand,Cu,2006,Simulated,527,22.908914247854074
142,Total demand,Cu,2006,Simulated,560,25.046582323253876
143,Total demand,Cu,2006,Simulated,266,22.78004079955172
144,Total demand,Cu,2006,Simulated,58,23.91461116137408
145,Total demand,Cu,2006,Simulated,262,23.818020429586227
146,Total demand,Cu,2006,Simulated,336,23.244207741981523
147,Total demand,Cu,2006,Simulated,171,24.145586373865658
148,Total demand,Cu,2006,Simulated,220,23.13690312040902
149,Total demand,Cu,2006,Simulated,277,23.809106009298482
150,Total demand,Cu,2006,Simulated,193,21.818240171079378
151,Total demand,Cu,2006,Simulated,157,17.35656040375591
152,Total demand,Cu,2006,Simulated,216,20.9424254383258
153,Total demand,Cu,2006,Simulated,68,19.258355205107964
154,Total demand,Cu,2006,Simulated,345,23.62215600623225
155,Total demand,Cu,2006,Simulated,244,22.885226477371994
156,Total demand,Cu,2007,Historical,Historical,23.753
157,Total demand,Cu,2007,Simulated,214,22.00651136124872
158,Total demand,Cu,2007,Simulated,204,23.85580744512217
159,Total demand,Cu,2007,Simulated,226,23.636175012109558
160,Total demand,Cu,2007,Simulated,207,24.353365056382337
161,Total demand,Cu,2007,Simulated,173,23.35118373245413
162,Total demand,Cu,2007,Simulated,329,22.22616034767291
163,Total demand,Cu,2007,Simulated,187,23.384816499527744
164,Total demand,Cu,2007,Simulated,379,21.958850805875283
165,Total demand,Cu,2007,Simulated,97,22.724477189859172
166,Total demand,Cu,2007,Simulated,512,24.02688099087499
167,Total demand,Cu,2007,Simulated,527,23.662810218131415
168,Total demand,Cu,2007,Simulated,560,25.6672593142578
169,Total demand,Cu,2007,Simulated,266,22.77731450306144
170,Total demand,Cu,2007,Simulated,58,24.506811455119887
171,Total demand,Cu,2007,Simulated,262,24.49657519631741
172,Total demand,Cu,2007,Simulated,336,24.1217304262038
173,Total demand,Cu,2007,Simulated,171,23.449982277322757
174,Total demand,Cu,2007,Simulated,220,23.932336543936252
175,Total demand,Cu,2007,Simulated,277,21.79963721683302
176,Total demand,Cu,2007,Simulated,193,22.42285409312867
177,Total demand,Cu,2007,Simulated,157,17.13167646793717
178,Total demand,Cu,2007,Simulated,216,21.51959741986433
179,Total demand,Cu,2007,Simulated,68,18.77622757292818
180,Total demand,Cu,2007,Simulated,345,24.75346013321338
181,Total demand,Cu,2007,Simulated,244,22.731053013538702
182,Total demand,Cu,2008,Historical,Historical,23.145
183,Total demand,Cu,2008,Simulated,214,21.485239661413228
184,Total demand,Cu,2008,Simulated,204,23.93065407954972
185,Total demand,Cu,2008,Simulated,226,23.54729317437968
186,Total demand,Cu,2008,Simulated,207,23.580727824773742
187,Total demand,Cu,2008,Simulated,173,23.18132848949664
188,Total demand,Cu,2008,Simulated,329,22.66463296429525
189,Total demand,Cu,2008,Simulated,187,22.727904741526565
190,Total demand,Cu,2008,Simulated,379,21.530424255736683
191,Total demand,Cu,2008,Simulated,97,22.522167668960684
192,Total demand,Cu,2008,Simulated,512,24.69961460126027
193,Total demand,Cu,2008,Simulated,527,23.33363028379515
194,Total demand,Cu,2008,Simulated,560,25.65351536660512
195,Total demand,Cu,2008,Simulated,266,22.141056472141464
196,Total demand,Cu,2008,Simulated,58,24.29063173406891
197,Total demand,Cu,2008,Simulated,262,24.689682533104595
198,Total demand,Cu,2008,Simulated,336,24.728071853896946
199,Total demand,Cu,2008,Simulated,171,22.261125335697347
200,Total demand,Cu,2008,Simulated,220,23.83561687583512
201,Total demand,Cu,2008,Simulated,277,19.72365297620896
202,Total demand,Cu,2008,Simulated,193,22.145988836993922
203,Total demand,Cu,2008,Simulated,157,17.505287185085344
