,Static lifetime,Opening probability,Price
Ag,18.867924528301888,0.027112852637712674,696540.9561339107
Al,83.79888268156425,0.09185914514693892,1631.8233759173238
Au,16.060606060606062,0.03437251168333429,46212040.90132334
Cu,42.64705882352941,0.07649106630392162,7025.439854825345
Ni,36.015325670498086,0.04938837715038881,14339.024325182158
Pb,18.64406779661017,0.13150633045829555,2211.3187431516003
Sn,14.527027027027026,0.2738696722582133,21986.64512927591
Steel,55.26315789473684,0.27174271822953494,703.6363737766308
Zn,19.68503937007874,0.2527394984866953,2748.893335669072
