,"Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying dematerialization","Demand, varying price","Demand, varying price","Demand, varying price","Demand, varying price"
,-0.03,-0.02,-0.01,0.0,-3.0,-1.0,1.0,3.0
1912,42.307460393293084,42.3074603932931,42.30746039329309,42.30746039329309,42.307460393293084,42.307460393293084,42.307460393293084,42.307460393293084
1913,43.57668420509188,43.57668420509189,43.57668420509188,43.57668420509188,43.57668420509188,43.57668420509188,43.57668420509188,43.57668420509188
1914,44.88398473124464,44.88398473124466,44.88398473124464,44.88398473124464,44.88398473124464,44.88398473124464,44.88398473124464,44.88398473124464
1915,46.23050427318198,46.23050427318199,46.23050427318198,46.23050427318198,46.23050427318198,46.23050427318198,46.23050427318198,46.23050427318198
1916,47.61741940137744,47.61741940137745,47.61741940137744,47.61741940137745,47.61741940137744,47.61741940137744,47.61741940137744,47.61741940137744
1917,49.04594198341876,49.045941983418764,49.045941983418764,49.045941983418764,49.04594198341876,49.04594198341876,49.04594198341876,49.04594198341876
1918,50.51732024292132,50.51732024292134,50.517320242921336,50.517320242921336,50.51732024292132,50.51732024292132,50.51732024292132,50.51732024292132
1919,52.03283985020897,52.03283985020899,52.03283985020898,52.03283985020897,52.03283985020897,52.03283985020897,52.03283985020897,52.03283985020897
1920,53.59382504571523,53.593825045715235,53.593825045715235,53.59382504571523,53.59382504571523,53.59382504571523,53.59382504571523,53.59382504571523
1921,55.2016397970867,55.201639797086706,55.201639797086706,55.2016397970867,55.2016397970867,55.2016397970867,55.2016397970867,55.2016397970867
1922,56.85768899099929,56.85768899099931,56.85768899099929,56.85768899099929,56.85768899099929,56.85768899099929,56.85768899099929,56.85768899099929
1923,58.56341966072927,58.563419660729295,58.56341966072928,58.56341966072928,58.56341966072927,58.56341966072927,58.56341966072927,58.56341966072927
1924,60.32032225055116,60.32032225055119,60.32032225055116,60.32032225055116,60.32032225055116,60.32032225055116,60.32032225055116,60.32032225055116
1925,62.12993191806768,62.12993191806772,62.12993191806768,62.12993191806771,62.12993191806768,62.12993191806768,62.12993191806768,62.12993191806768
1926,63.99382987560971,63.99382987560975,63.99382987560974,63.99382987560974,63.99382987560971,63.99382987560971,63.99382987560971,63.99382987560971
1927,65.91364477187801,65.91364477187803,65.91364477187801,65.91364477187801,65.91364477187801,65.91364477187801,65.91364477187801,65.91364477187801
1928,67.89105411503435,67.89105411503438,67.89105411503436,67.89105411503438,67.89105411503435,67.89105411503435,67.89105411503435,67.89105411503435
1929,69.92778573848538,69.92778573848541,69.92778573848541,69.92778573848538,69.92778573848538,69.92778573848538,69.92778573848538,69.92778573848538
