,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0.01,344.8363227670324,348.2846859947028,351.76753285464974,355.28520818319623,358.8380602650283,362.42644086767854,366.0507052763553,369.71121232911895,373.4083244524101,377.14240769693424,380.91383177390355,384.72297009164265,388.57019979255904,392.4559017904846,396.38046080838944,400.3442654164734,404.3477080706381,408.3911851513445,412.475097002858,416.5998479728865,420.7658464526154,424.9735049171416,429.22323996631303,433.5154723659761,437.85062708963585,442.2291333605323,446.6514246941376,451.1179389410788,455.62911833048963,460.18540951379464,464.7872636089326,469.43513624502185,474.1294876074721,478.8707824835469,483.6594903083823,488.4960852114662,493.3810460635809,498.3148565242167,503.2980050894589,508.3309851403534,513.414294991757,518.5484379416745,523.7339223210913,528.9712615443023,534.2609741597453,539.6035839013427,544.9996197403561,550.4496159377596,555.9541120971371,561.5136532181086,567.1287897502898,572.8000776477926,578.5280784242705,584.3133592085134,590.1564928005985,596.0580577286044,602.0186383058906,608.0388246889493,614.119212935839,620.2604050651973,626.4630091158492,632.7276392070078,639.0549155990777,645.4454647550685,651.8999194026194,658.4189185966454,665.0031077826119,671.6531388604382,678.3696702490423,685.1533669515328,692.0049006210481,698.9249496272587,705.9141991235311,712.9733411147666,720.1030745259144,727.3041052711736,734.5771463238852,741.922917787124,749.3421469649953,756.8355684346452,764.4039241189918,772.0479633601817,779.7684429937833,787.5661274237212,795.4417886979585,803.3962065849381,811.4301686507874,819.5444703372955,827.7399150406686,836.0173141910751,844.3774873329859,852.8212622063159,861.3494748283789,869.9629695766625,878.6625992724294,887.4492252651532,896.3237175178052,905.2869546929833,914.339824239913,923.4832224823122,932.7180547071354,942.0452352542065,951.4656876067488,960.980344482816,970.5901479276442,980.2960494069209,990.09900990099,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
0.02,120.16600457827775,122.56932466984328,125.02071116324015,127.52112538650495,130.07154789423507,132.67297885211974,135.32643842916215,138.0329671977454,140.79362654170032,143.60949907253433,146.481689053985,149.4113228350647,152.399549291766,155.44754027760135,158.55649108315333,161.72762090481643,164.96217332291272,168.26141678937103,171.62664512515846,175.05917802766157,178.56036158821485,182.13156881997915,185.7742001963787,189.4896842003063,193.27947788431243,197.14506744199875,201.08796879083872,205.10972816665543,209.21192272998857,213.39616118458838,217.6640844082801,222.01736609644573,226.45771341837462,230.98686768674213,235.60660504047698,240.31873714128653,245.1251118841123,250.02761412179447,255.02816640423038,260.12872973231504,265.33130432696134,270.6379304135006,276.05068902177055,281.571702802206,287.2031368582501,292.9471995954151,298.8061435873234,304.7822664590699,310.87791178825125,317.09547002401627,323.4373794244966,329.9061270129866,336.5042495532464,343.23433454431137,350.0990212351975,357.10100165990144,364.24302169309954,371.5278821269616,378.9584397695007,386.5376085648908,394.2683607361886,402.1537279509123,410.19680250993065,418.40073856012924,426.76875333133194,435.3041283979586,444.01021096591757,452.89041518523595,461.9482234889408,471.1871879587196,480.6109317178938,490.2231503522519,500.02761335929677,510.02816562648286,520.2287289390125,530.6333035177928,541.2459695881487,552.0708889799116,563.1123067595098,574.3745528947001,585.862043952594,597.5792848316462,609.5308705282789,621.7214879388445,634.1559176976214,646.8390360515738,659.7758167726054,672.9713331080575,686.4307597702186,700.159374965623,714.1625624649356,728.4458137142342,743.0147299885189,757.8750245882892,773.0325250800549,788.493175581656,804.2630390932893,820.3482998751552,836.7552658726584,853.4903711901114,870.5601786139134,887.9713821861919,905.7308098299158,923.8454260265141,942.3223345470444,961.1687812379855,980.3921568627451,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
0.03,42.307460393293084,43.57668420509188,44.88398473124464,46.23050427318198,47.61741940137744,49.04594198341876,50.51732024292132,52.03283985020897,53.59382504571523,55.2016397970867,56.85768899099929,58.56341966072927,60.32032225055116,62.12993191806768,63.99382987560971,65.91364477187801,67.89105411503435,69.92778573848538,72.02561931063995,74.18638788995915,76.41197952665793,78.70433891245767,81.06546907983142,83.49743315222634,86.00235614679316,88.5824268311969,91.23989963613286,93.97709662521683,96.79640952397335,99.70030180969256,102.69131086398333,105.77205018990286,108.94521169559994,112.21356804646794,115.57997508786195,119.04737434049781,122.61879557071275,126.29735943783415,130.08628022096917,133.98886862759826,138.0085346864262,142.148790727019,146.41325444882955,150.80565208229444,155.3298216447633,159.9897162941062,164.78940778292937,169.7330900164173,174.8250827169098,180.0698351984171,185.47193025436965,191.0360881620007,196.76717080686075,202.67018593106656,208.75029150899852,215.0128002542685,221.46318426189657,228.10707978975344,234.9502921834461,241.99880094894945,249.25876497741794,256.73652792674045,264.43862376454274,272.37178247747903,280.5429359518034,288.9592240303575,297.62800075126825,306.5568407738063,315.7535459970204,325.22615237693117,334.982936948239,345.0324250566862,355.38339780838675,366.0448997426384,377.02624673491755,388.3370341369651,399.9871451610743,411.98675951590633,424.3463623013835,437.07675317042515,450.1890557655379,463.69472743850406,477.6055692616592,491.9337363395089,506.69174842969414,521.8925008825851,537.5492759090627,553.6757541863344,570.2860268119244,587.3946076162821,605.0164458447708,623.1669392201138,641.8619473967174,661.1178058186189,680.9513399931774,701.3798801929728,722.421276598762,744.093914896725,766.4167323436268,789.4092343139355,813.0915113433534,837.4842566836542,862.608784384164,888.4870479156889,915.1416593531594,942.5959091337543,970.8737864077669,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
0.04,15.046403184683383,15.648259312070717,16.27418968455355,16.925157271935692,17.602163562813118,18.306250105325645,19.038500109538674,19.80004011392022,20.592041718477027,21.415723387216108,22.272352322704755,23.163246415612946,24.089776272237465,25.053367323126963,26.055502016052046,27.097722096694127,28.181630980561895,29.308896219784366,30.48125206857575,31.700502151318776,32.96852223737153,34.287263126866385,35.65875365194105,37.08510379801869,38.56850794993944,40.111248267937015,41.71569819865449,43.38432612660068,45.11969917166471,46.924487138531305,48.80146662407256,50.75352528903546,52.78366630059688,54.89501295262076,57.09081347072559,59.37444600955461,61.749423849936804,64.21940080393428,66.78817683609167,69.4597039095353,72.23809206591675,75.12761574855342,78.13272037849553,81.25802919363535,84.50835036138079,87.88868437583602,91.40423175086947,95.06040102090427,98.86281706174042,102.81732974421004,106.93002293397844,111.20722385133759,115.65551280539111,120.28173331760675,125.09300265031104,130.09672275632346,135.3005916665764,140.71261533323948,146.34111994656905,152.1947647444318,158.28255533420906,164.61385754757745,171.19841184948058,178.04634832345982,185.16820225639822,192.5749303466541,200.2779275605203,208.28904466294108,216.62060644945876,225.28543070743711,234.2968479357346,243.668721853164,253.4154707272905,263.55208955638227,274.09417313863753,285.057940064183,296.46025766675046,308.3186679734204,320.65141469235726,333.47747128005153,346.8165701312536,360.68923293650374,375.11680225396395,390.1214743441225,405.7263333178873,421.9553866506028,438.83360211662705,456.38694620129206,474.64242404934384,493.6281210113176,513.3732458517703,533.9081756858411,555.2645027132749,577.4750828218058,600.574086134678,624.5970495800651,649.5809315632678,675.5641688257988,702.5867355788304,730.6902050019839,759.9178132020633,790.3145257301458,821.9271067593515,854.8041910297256,888.9963586709148,924.5562130177514,961.5384615384613,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
0.05,5.404369066649927,5.674587519982422,5.958316895981545,6.256232740780622,6.569044377819655,6.897496596710637,7.242371426546169,7.6044899978734755,7.984714497767152,8.383950222655509,8.803147733788284,9.2433051204777,9.705470376501586,10.190743895326664,10.700281090092998,11.235295144597648,11.797059901827534,12.38691289691891,13.006258541764856,13.656571468853096,14.339400042295752,15.056370044410542,15.80918854663107,16.599647973962625,17.429630372660757,18.301111891293793,19.21616748585848,20.176975860151412,21.18582465315898,22.24511588581693,23.35737168010778,24.525240264113172,25.751502277318824,27.039077391184765,28.39103126074401,29.810582823781214,31.301111964970275,32.86616756321879,34.50947594137973,36.23494973844872,38.046697225371155,39.94903208663972,41.946483690971704,44.043807875520294,46.24599826929631,48.55829818276112,50.98621309189919,53.53552374649414,56.21229993381885,59.0229149305098,61.97406067703529,65.07276371088706,68.32640189643142,71.74272199125299,75.32985809081563,79.09635099535642,83.05116854512426,87.20372697238047,91.56391332099949,96.14210898704947,100.94921443640193,105.99667515822205,111.29650891613318,116.86133436193983,122.70440108003683,128.83962113403868,135.2816021907406,142.0456823002776,149.14796641529153,156.60536473605615,164.4356329728589,172.65741462150186,181.29028535257694,190.35479962020585,199.87253960121615,209.86616658127693,220.3594749103409,231.37744865585788,242.9463210886508,255.0936371430833,267.8483190002376,281.24073495024936,295.30277169776184,310.06791028265,325.57130579678244,341.8498710866216,358.9423646409527,376.88948287300036,395.7339570166505,415.5206548674829,436.29668761085713,458.1115219914,481.01709809097,505.0679529955185,530.3213506452945,556.8374181775592,584.6792890864372,613.9132535407591,644.6089162177971,676.8393620286869,710.6813301301213,746.2153966366275,783.5261664684589,822.7024747918817,863.837598531476,907.0294784580499,952.3809523809522,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
Copper,41.645472598531725,42.625366071438386,43.605259544345046,44.58515301725167,45.5650464901583,46.54493996306497,47.5248334359716,48.50472690887824,49.484620381784914,50.464513854691525,51.44440732759819,52.42430080050484,53.404194273411505,54.38408774631813,55.363981219224776,56.343874692131386,57.56874153326439,45.93250654249847,41.95168930881482,36.439788523715315,40.7268224676816,46.23872325278154,63.080642318364,62.468208897797375,63.87680576510066,65.28540263240396,66.69399949970722,68.10259636701052,69.51119323431378,70.91979010161708,72.32838696892037,73.73698383622366,75.14558070352695,76.55417757083022,79.3101279633802,89.10906269244673,96.15204702896284,95.53961360839646,102.58259794491272,107.17584859916275,108.70693215057834,103.5012480757627,108.40071544029593,133.20426897324447,128.91723502927778,126.16128463672752,126.7737180572944,143.92185383316013,170.562707627809,179.0415494654544,183.14751137232645,190.60307378217357,217.0757229185865,231.66269285089544,243.11616553848626,234.03982869171605,256.94677406689794,278.44904826341326,278.77320315079766,275.09944776043864,299.8432708308002,317.8878928952119,321.66969991469966,292.0635535335685,316.699324974802,325.34345530505914,335.28420518485535,351.4919495540879,353.8690853949083,365.64671296988433,349.33091697152327,359.9199766260882,369.21241673111524,374.8311014457827,392.01131047716854,404.0050413104011,416.21487540188946,424.9670573612744,425.9395220234289,423.6704378117362,440.526491955738,445.28076363737944,451.54775812681567,474.02249698548536,510.327844372566,545.0124173227233,572.349479492162,603.5764003102169,621.9519565867117,606.2256693301277,616.8448592214545,641.787596499485,698.0304727925504,714.5545078205976,743.4653253497137,768.0376325096754,760.2478387280332,693.3856323059945,774.2939613350882,798.4851017722028,801.6750655364763,830.8349090210618,863.6325777812156,885.0093428757789,909.0856524385821,941.4662776127782,972.2243765062486,999.9999999999999,1028.7521827913365,1054.9370105517662,1081.457357557511,1107.0196053918664,1130.572516780251,1153.701551674657,1176.2401985953993,1197.757688266697,1217.3814368747346,1234.7664684024105,1250.0669412712004,1266.3891588778652,1281.5342431401568,1295.5378058956746,1308.3459849274846,1319.971363163263,1330.4088769352054,1339.7362125028726,1347.9206383536489,1355.2007011771564,1361.5527869369087
