,Total demand,Primary supply,Primary demand,Scrap demand,Primary commodity price,Original primary commodity price,Total production,Actual demand,Primary commodity price.1,Primary commodity price.2,Primary commodity price old,Mine production - INSG,Mine production - USGS,Primary supply (BGS),Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,Unnamed: 5,"Primary commodity price, not adjusted for oil"
1993,,,,,13998.074393362653,10675.35044164502,,,,,,,,,,,,,,
1994,,,,,13987.986847299142,14083.6270250482,,,,,,,,,,,,,,
1995,,,,,13933.27296390509,17235.24571339474,,,,,,,,,,,,,,
1996,,,,,14271.984191819434,13957.72420910861,,,,,,,,,,,,,,
1997,,,,,14032.338449010233,13714.41743032888,,,,,,,,,,,,,,
1998,,,,,13211.326596572097,12368.90658121674,,,,,,,,,,,,,,
1999,,,,,12516.18883300912,12885.39831100219,,,,,,,,,,,,,,
2000,,,,,12128.436327035462,13130.18645120406,,,,,,,,,,,,,,
2001,1646.5508055892237,1280.591,,506.7759463021736,12531.217254603398,10482.03539129373,,,,,,,1350.0,,,,,,,
2002,1828.5151622065189,1291.55,,623.0742616436688,13280.721944482331,11775.6549004606,,,,,,,1350.0,,,,,,,
2003,1852.2122080473666,1320.856,,599.8669922875167,13479.515143592067,14382.81121905641,,,,,,,1330.0,,,,,,,
2004,1918.172084106404,1389.83,,637.6842792283543,15402.615248291066,16632.92176039686,,,,,,,1370.0,,,,,,,
2005,1807.1371119820149,1432.046,,526.649307103975,18960.14242762847,14124.15244675274,,,,,,1381.355932,1460.0,,,,,,,
2006,2007.3552125204042,1562.209,,572.0831674922642,18700.445353503917,20097.53591478872,,,,,,,1570.0,,,,,,,
2007,1863.4250041489902,1584.009,,512.5807264754499,17982.997381226145,29563.29079714763,,,,,,,1740.0,,,,,,,
2008,1854.4805365204747,1551.053,,536.4692794848347,18295.772883208876,13084.32584843363,,,,,,,1630.0,,,,,,,
2009,1773.6215012491273,1351.752,,502.5145594104772,17174.333697749837,13045.68189900801,,,,,,,1410.0,,,,,,,
2010,2070.5609888925214,1605.13,,574.3133341082815,13540.430179937834,15688.02995666639,,,,,,1573.446328,1690.0,,,,,,,
2011,2253.204354658402,2129.273,,611.5533227634719,12856.340052138883,14490.33998749352,,,,,,2197.740113,2340.0,,,,,,,
2012,2317.946344489099,2709.476,,615.3197028380689,12508.769495562867,11393.77320808762,,,,,,2355.932203,2420.0,,,,,,,
2013,2457.656878677687,3090.292,,637.7694490341669,11988.15781173739,9663.875209438873,,,,,,2511.299435,2610.0,,,,,,,
2014,2551.1525244544005,2074.365,,646.8373274562801,11474.443444020559,11307.82911612793,,,,,,2158.19209,2130.0,,,,,,,
2015,2543.425789767249,2163.688,,629.729729729729,11469.624055142658,13084.971537539,,,,,,2149.717514,2110.0,,,,,,,
2016,2727.9397596470685,1993.057,,659.459459459459,11911.837549449507,11921.76814890937,,,,,,1997.175141,2010.0,,,,,,,
2017,2940.195730439632,2136.822,,721.621621621622,12431.742965817615,11369.67626369812,,,,,,2127.118644,2200.0,,,,,,,
2018,3118.031539982754,2383.865,,754.054054054054,13584.777488165728,11874.94268097311,,,,,,2316.384181,2400.0,,,,,,,
2019,3226.8622280817385,2673.57,,787.837837837838,14339.024325182158,13907.35619796847,,,,,,2511.299435,2610.0,,,,,,,
2020,3190.6115308554304,2510.131,,779.72972972973,15288.435081213776,18850.14414927956,,,,,,2387.00565,,,,,,,,
2021,,,,,16141.808181273944,15693.00233399153,,,,,,,,,,,,,,
2022,,,,,16886.625509042435,16116.73004385622,,,,,,,,,,,,,,
