,Total demand,Primary supply,Scrap demand,Supply,Scrap consumption,Unnamed: 7,Unnamed: 8,Conc. Demand unadjusted (W),Conc. Supply unadjusted (W),Unnamed: 11,t W,kt W,kt WO3,Unnamed: 15,Primary (kt W),Secondary (kt W),Primary (kt WO3),Secondary (kt WO3),Total (kt WO3),RIR,Average demand growth,Primary consumption,Primary commodity price
1998,,,,,,,,,,,,,,,,,,,,,,,34721.33661997302
1999,,,,,,,,,,,,,,,,,,,,,,,35903.08618042789
2000,,,,,,,,,,,,,,,,,,,,,,,34023.35818315919
2001,86.60133766514095,64.06052963430012,20.512336614116734,63.90126775761854,,,2001.0,52.4085778334622,50.6737053317915,2001.0,50800.0,50.8,,2001.0,,,,,,,,,28807.97819768356
2002,71.71447507316908,59.26860025220681,16.986244005762654,81.55942767351021,,,2002.0,43.3994872364533,64.6766261450936,2002.0,47000.0,47.0,,2002.0,,,,,,,,,26758.251341500174
2003,87.3322181310395,59.52080706179067,20.685452486750975,61.21136281365397,,,2003.0,52.8508851559208,48.5406107112276,2003.0,47200.0,47.2,,2003.0,,,,,,,,,30098.409485239164
2004,88.30302846482927,83.60655737704917,20.91539799212132,82.76017617266682,,,2004.0,53.4383909648574,65.6288197049248,2004.0,66300.0,66.3,,2004.0,,,,,,,,,30491.42612763329
2005,104.86905149710884,75.03152585119798,24.839215452184757,76.19054750808108,,,2005.0,63.4636599836248,60.4191041739083,2005.0,59500.0,59.5,,2005.0,,,,,,,,,32272.5214438553
2006,119.77956811680441,71.37452711223203,28.37091073818828,71.24543586083519,,,2006.0,72.4870653012426,56.4976306376423,2006.0,56600.0,56.6,,2006.0,,,,,,,,,33380.188762191734
2007,119.95013356484384,67.59142496847414,28.4113107594726,68.61573892773795,,,2007.0,72.5902864846594,54.4122809696962,2007.0,53600.0,53.6,,2007.0,,,,,,,,,35674.59870307181
2008,115.45936908702687,78.05800756620428,27.34763120085097,79.97408185278675,,,2008.0,69.8726081437375,63.4194469092599,2008.0,61900.0,61.9,,2008.0,,,,,,,,,33765.9935531316
2009,90.48830394509586,77.17528373266079,21.433000923604066,76.42780344723681,,,2009.0,54.760855296043,60.6072481336588,2009.0,61200.0,61.2,,2009.0,,,,,,,,,34354.12816022473
2010,116.57429999899013,86.2547288776797,27.61171301279832,86.08580576546507,24,,2010.0,70.5473314800501,68.2660439720138,2010.0,68400.0,68.4,,2010.0,,,,,,,,,35806.68396115744
2011,132.9808735953348,93.19041614123581,31.497763382987525,93.07772741552307,,,2011.0,80.4761063983914,73.8106378405098,2011.0,73900.0,73.9,,2011.0,,,,,,,,,37446.698194064564
2012,125.79095207312068,97.98234552332913,27.95889584351412,96.01627475802685,,,2012.0,77.580820590078,76.1409058831153,2012.0,77700.0,77.7,,2012.0,71.4343761277812,22.1714044039067,90.0811804890053,27.95889584351412,118.04007633251942,0.23685935075773576,,,37806.848713937696
2013,131.05650302795272,100.12610340479193,29.514041105524967,90.37562161753733,,,2013.0,80.5231723044852,71.6678679427071,2013.0,79400.0,79.4,,2013.0,75.2092157152306,23.4046345966813,94.8413817342126,29.514041105524967,124.35542283973757,0.2373361806952403,1.0535017148703614,,39101.42105756271
2014,132.41753918280932,103.530895334174,31.504776902555484,,,,,,,2014.0,82100.0,82.1,,2014.0,80.0238204882413,24.9832880837265,100.91276228025384,31.504776902555484,132.41753918280932,0.23791996964285445,1.0648312406404807,,36278.429403916954
2015,138.88572254104488,105.54854981084489,33.79060793175926,,,,,,,2015.0,83700.0,83.7,,2015.0,83.3404258851635,26.7959520898851,105.09511460928562,33.79060793175926,138.88572254104488,0.243297923742832,1.048846877824137,,33917.76562393522
2016,145.20106904826332,98.86506935687264,36.80448011069092,,,,,,,2016.0,78400.0,78.4,,2016.0,85.9584950274949,29.1859527277779,108.39658893757239,36.80448011069092,145.20106904826332,0.25347251471308035,1.04547153149851,,33263.97349132757
2017,149.33361441503138,102.64817150063053,39.671686212690915,,,,,,,2017.0,81400.0,81.4,,2017.0,86.961909064456,31.4596471666639,109.66192820234046,39.671686212690915,149.33361441503138,0.26565811299815234,1.0284608466993754,,31481.675243543054
2018,154.34042623888098,103.65699873896595,42.977127467175535,,,,,,,2018.0,82200.0,82.2,,2018.0,88.3110959259624,34.0808620814702,111.36329877170543,42.977127467175535,154.34042623888098,0.278456711015282,1.0335276946417071,,31119.03368010812
2019,159.8689040541223,105.67465321563681,44.51656921652859,,,,,,,2019.0,83800.0,83.8,,2019.0,,,,44.51656921652859,,,,,30379.395383336603
2020,,,,,,,,,,,,,,,,,,,,,,,28944.916490099895
2021,,,,,,,,,,,,,,,,,,,,,,,28118.911059090984
2022,,,,,,,,,,,,,,,,,,,,,,,28644.02764453819
