,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Al,Al,Al,Al,Al,Al,Al,Al,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Au,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Sn,Sn,Sn,Sn,Sn,Sn,Sn,Sn,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Steel,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn
1998,22.35874872565327,,15.371121003210868,5.204163760261844,,846801.9512548656,307234.2734061906,676340.8853710752,,,,,,1641.0452705858595,1890.577892889552,1520.718660745583,,,,,,,,,,,,,,,,,28466190.3255675,16280061.73124744,34183649.21246073,17875.6120826709,,11514,,5950.820481300845,2595.42326749326,5495.630240333031,1566.6470888700878,,1180,530.0617230164378,,1180,12368.906581216736,7274.192290549498,13211.326596572097,6067,1.0023129026928796,3060,3032,,,,,,2325.6009501127664,829.6444107239671,2177.4633918486697,237.03,,212.014,25.01599999999999,19508.9336822125,19508.93368221255,8685.025284531834,16832.024559917925,,,,,,,760.3906002800281,313.382757901813,672.9589691587908,,,,,,,,,2194.6987938403163,1608.015631646607,2118.7746690218996
1999,23.802114074153568,,15.787859252467968,4.872028759993561,17.020807,677290.5167523928,282380.54482698644,620206.7346441388,,,,,,1498.9498470626709,1829.080699859515,1505.3645831563294,,,,,,,,,,,,,,,,,29117301.41974041,15106427.343710728,32284337.75963962,19129.20031796502,,12228,,4715.298211067456,2413.752576814248,4949.551247347358,1635.0227035488601,,1170,523.3904333800101,,1170,12885.398311002187,9208.52682714802,12516.188833009119,6242,1.0288445689797263,3080,3322,,,,,,1879.3923749750047,770.371521561483,1846.847497255497,248.103,,220.062,28.040999999999997,16317.3376239902,16317.337623990246,8290.670854554832,15251.139301146934,,,,,,,510.1239030242381,235.61482057695665,584.4871549211271,,,,,,,,,2079.0091818111887,1649.2820459379534,2026.2263831303567
2000,25.38766968932768,,16.754578592581378,4.850566078231476,18.202192999999998,476310.6115127957,259503.19861596508,576926.7016345124,,,,,,1321.8328568825234,1810.0478932919232,1452.2935119306997,,,,,,,,,,,,,,,,,32120692.977268543,14627677.068935337,31967128.555510532,20776,,12767,,3879.706000283642,2692.3410003127506,4376.252997898986,1661.7302002671909,,1290,507.8840464210409,1169.491525,1290,13130.18645120406,12831.078391846988,12128.436327035462,6508,1.0426145466196732,3200,3596,,,,,,1264.4637851725265,673.9142310801864,1622.6948769508153,260.669,,249.026,11.642999999999972,12423.6139361584,12423.613936158492,8068.983030512972,13765.211037987148,,,,,,,433.23260655814295,252.24281716334903,517.8362347590776,10351.0764090917,,9064.96608795798,1217.13444065003,10282.10052860801,1084.37067773167,531.1366520194001,1217.13444065003,1833.62743803099,1673.838457039541,1785.285982286397
2001,23.772602886730695,,17.185491612221373,5.070558566292858,19.002631,437174.7133797401,222900.38102231736,491147.9643135311,36692.949911590506,1997.990545,24167.13587489007,23586.24209233735,13106.707819253155,1365.3093418736548,1695.2970167993146,1430.6872115981143,3.728,32158607.71441728,2.56,0.9468493150684931,3.506849315068493,,3.728,,,,13566761.083007999,384.621696,,,,11873993.704704,33602173.332053214,13808108.374743678,34515012.62439835,20067,,13199,6952.018640945637,3706.5148955119657,2283.1880860747588,3904.0508607717907,1646.5508055892237,,1350,506.7759463021736,,1350,10482.035391293732,8633.621267837483,12531.217254603398,6482,0.9960049170251998,3120,3584,,,,,,1367.864824805241,688.3518271230299,1410.8463350223815,280.695,,244.295,36.400000000000006,10833.273186526,10833.273186526048,6477.493460676628,11934.06326429425,857999.999999991,424.808601,502359.712230216,349640.287769784,852000,447.613749,433.9605269800974,240.4891880792503,471.76560257372455,9866.34884288369,,8515.085081853182,1363.13866317931,9878.223745032492,1088.15517500968,495.7833984711199,1363.13866317931,1502.239403525203,1281.3512314204102,1605.851788137536
2002,23.35944626281054,,16.85380198526164,5.293233889574502,18.904408,447055.7152727677,230680.19969314084,449107.03391688847,37848.56348002964,1842.596871,25796.26533424498,25194.16514634754,12654.3983336821,1434.3302432487894,1755.349164130199,1443.7652852307203,3.362,34756129.68671809,2.55,1.041549295774648,3.591549295774648,,3.362,,,,15261925.167299999,432.6801,,,,13567145.704704,36529284.72292299,15559541.634473868,35900602.9561996,20292,,13636,7029.967721237299,3628.925401331017,2217.821387474612,3874.195294840471,1828.5151622065189,,1350,623.0742616436688,,1350,11775.654900460597,9635.083665486103,13280.721944482331,6647,1.025455106448627,2850,3846,,,,,,1276.1524496885384,643.4000123946294,1384.1176155914711,264.428,,234.915,29.513000000000005,9742.8967610484,9742.896761048403,5770.831041904166,11579.166544838032,906000,421.810735,537230.2158273379,367769.784172662,905000,424.685877,451.4735369528811,254.3317151184023,497.6573954402784,9828.3789110156,,8549.31416805293,1372.6107941219304,9921.92496217486,1088.14382226979,455.3600131974599,1372.6107941219304,1316.855094224288,1107.3307381954469,1482.8488015301984
2003,23.871867789880344,,16.930345745329273,5.258357031711112,18.82685,417908.2646499594,239017.40697013136,437181.6338744876,39032.795796776976,1835.373982,28039.01855706616,27745.08599541587,11287.709801361107,1533.013768922933,1949.5715697722703,1477.8829104387125,3.206,38240248.80577394,2.54,1.0885714285714287,3.628571428571429,,3.206,,,,17508670.648,496.376,,,,15252034.346916,41205610.67000662,17836880.038607154,36873810.912796296,20703,,13487,6858.991369397299,3589.809795664874,2472.34914750288,4018.9531421993233,1852.2122080473666,,1370,599.8669922875167,,1330,14382.811219056412,13393.39720784794,13479.515143592067,6826,1.0269294418534678,3200,3649,,,,,,1266.3582404705971,714.4422051793805,1445.9973592754093,275.282,,257.041,18.240999999999985,10353.194813748,10353.19481374806,6796.912710103276,11242.293496610471,972000,427.806467,561791.366906475,409208.633093525,971000,470.541621,530.0374393532633,328.2350114031322,521.4924426268788,10237.2191670264,,9184.29805666875,1207.7818768462103,10392.07993351496,1120.4432898624598,525.9642487386602,1207.7818768462103,1297.5278230960107,1150.3100825225854,1453.2457907018397
2004,23.67333798358105,,17.39527821388821,5.330793582658153,19.891030999999998,467085.86476917967,317846.22230986605,462217.5342175268,41805.11473666539,1999.007353,29971.20629725781,30515.48678321252,11289.62795345287,1564.340215225701,2114.70710644071,1599.4929418139695,3.512,33392445.49462782,2.42,1.0371428571428571,3.4571428571428573,,3.512,,,,19169570.399,543.463,,,,15749019.786006,36045253.078746624,19554709.20142283,36869241.64004706,22137,,13699,7475.783907794301,4566.020381410855,3875.459560417547,4708.248480621862,1918.172084106404,,1350,637.6842792283543,,1370,16632.921760396857,18741.6939256409,15402.615248291066,7141,1.046147084676238,3150,3746,,,,,,1745.7487778204527,1193.3130830291254,1531.860629053576,313.09,,285.442,27.647999999999968,14542.8540267091,14542.854026709154,11457.388582383135,11310.698433174528,1058000,643.479306,617532.37410072,445467.62589928,1063000,767.029603,639.5828673570072,460.729909281489,541.6566228213147,11502.3667861634,,10529.25918084443,1173.8843040832,11703.14348492763,1247.02153081332,526.17140176359,1173.8843040832,1463.9942487745,1419.0531339481,1876.561525755725
2005,25.62375918871063,,18.140871136028466,5.456886838010409,20.752817999999998,416683.611300791,337368.52515897056,491813.6780183796,44267.88934826074,1933.690825,32666.51154267505,32643.72246711639,11624.166881144349,1492.4209829224842,2160.45063274228,1685.2147506366703,3.745,33248775.81758856,2.48,0.9172602739726028,3.397260273972603,,3.745,,,,20163133.2084,571.6308,,,,15122391.179784,36986732.76025206,20545557.725701552,36280142.62716967,21872,,14594,7475.9243112857,4603.495237077906,4809.623307666517,5395.775013502805,1807.1371119820149,,1460,526.649307103975,1381.355932,1460,14124.152446752742,19361.607995723043,18960.142427628474,7652,1.0715586052373618,3470,4316.50818139284,,,,,,1573.8625035922173,1276.4539689600224,1903.1169340488723,333.6,,297.812,35.78800000000001,10739.2486950206,10739.24869502069,9675.724497482488,12672.912287094217,1132000,438.719218,668863.3093525181,479136.690647482,1148000,674.225858,552.4078424911451,459.0075444177132,573.9914741517906,12022.857035605,,10734.55332167205,1486.2335877445698,12220.78690941662,1256.49920309445,606.8583377431501,1486.2335877445698,1685.612383889196,1806.5661015140392,2309.00127331421
2006,24.843054139614743,,18.240094528708727,5.556151741160058,20.207038,562354.2150949363,516800.4763378726,517232.0326453004,47496.51043169534,2554.844819,33941.41113333656,34462.63778628418,13033.87264541116,1973.35949874994,2910.0145309536515,1715.106099980008,3.424,30743276.91313928,2.37,1.2761538461538462,3.646153846153846,,3.424,,,,26549874.226400003,752.6968,,,,20608702.998528,33579326.96830697,27010746.803382363,36026987.390139416,22009,,14927,8402.411851177902,7152.991587624657,8516.13477841579,5764.095361780045,2007.3552125204042,,1570,572.0831674922642,,1570,20097.535914788725,30553.925909803864,18700.445353503917,8042.622302158272,1.0510483928591574,3630,4854.74820134802,,,,,,1797.1811736960751,1632.4527071969896,2076.3374211549512,327.002,,296.48,30.52199999999999,11175.2978693463,11175.297869346336,11097.9614047109,14063.300096626102,1230000,371.682812,747553.956834533,502446.043165467,1250000,671.664036,534.7814279522767,487.8086775967711,610.744930311773,12543.399838585501,,10952.161424540769,1648.32215914429,12600.48358368506,1375.1514826452699,635.7435575018901,1648.32215914429,3618.81807879463,4134.341921415979,2406.7341790256787
2007,24.494285560980845,,18.928988369317405,5.478349519772496,20.918483000000002,595036.4342770313,582445.5371479071,562189.5075847855,50523.975766098505,2480.711927,38125.83681193873,37969.64353528341,12554.332230815096,1862.9392873622917,2703.9788825481387,1656.7063555268971,3.552,30864252.60304314,2.35,1.1574626865671642,3.5074626865671643,,3.552,,,,29720363.1403,842.5811,,,,23289317.40042,33583789.65853608,30302753.942347884,37214261.83806977,23753,,14983,8504.871299139502,7066.558065735732,8788.89562697106,5976.950680176382,1863.4250041489902,,1740,512.5807264754499,,1740,29563.290797147634,45863.57383290222,17982.99738122615,8243.844604316537,1.0250194892409987,3710,5198.26137673411,,,,,,3132.4339746650194,3175.7424962685623,2183.0984515970517,335.408,,342.531,16,16553.9660306468,16553.96603064685,17857.185727905573,14490.549856917525,1316000,352.816913,801525.179856116,546474.820143884,1348000,688.865884,613.1477936052606,594.8152133696249,587.388679006578,13026.7872895512,,11106.147881979261,1875.6529264926899,12981.800808471951,1406.78260272633,717.37034785263,1875.6529264926899,3479.053832016713,4012.5204516997305,2479.5198425781396
2008,24.54794226538606,,19.41093056233582,5.419327144926759,21.436884999999997,545000.0377845635,627890.940860684,641213.9476421447,51796.68198143054,1928.688547,40157.53593679744,37362.88382821971,14433.798153210832,1682.4705156396235,2673.315763133353,1685.9242032844254,3.806,35319609.12352629,2.28,1.4577049180327868,3.7377049180327866,,3.806,,,,35897191.008,1017.696,,,,26830921.217274003,39939834.48485532,36516458.21229208,38096383.46402263,23145,,15508,8230.7334818802,5431.411537051076,8246.974059948292,6423.1471298420365,1854.4805365204747,,1630,536.4692794848347,,1630,13084.325848433631,25090.502743400724,18295.77288320888,9064.503956834527,1.099548134627415,3880,5444.46113661928,,,,,,2132.4606760009924,2484.0809782301367,2364.1374051916137,326.262,,313.907,12.355000000000018,17305.1338614074,17305.13386140749,21881.2506703098,16598.146756209655,1318000,465.046781,793935.251798561,549064.748201439,1343000,980.359214,713.8047201531751,811.2873662047383,598.2358541069661,13249.4040804069,,11202.96788383093,2054.5098660301696,13257.4777498611,1434.6687224143,727.3655381236797,2054.5098660301696,1786.1923516533568,2236.681515776805,2575.578026931314
2009,24.99597574716961,,20.335125591300542,5.397864463164672,22.324263,691873.2394666055,614996.899344396,772891.0287358912,47647.59534928033,1462.735707,37722.7149395779,34310.54817122681,13337.047178053523,1272.3414929601456,1733.5002241948494,1629.306069326876,3.611635,38898966.51822416,2.46,1.7813793103448277,4.241379310344827,,3.611635,,,,40098416.945999995,1136.802,,,,35094737.35563,41981625.31839839,40881044.66665984,37807268.73245207,23145,,15537,7235.8694416013,5630.296973392537,6144.799793261443,6381.147849684315,1773.6215012491273,,1410,502.5145594104772,,1410,13045.681899008012,17454.503841996837,17174.333697749837,9174.295683453227,1.0121122708028516,3780,5812.61196206135,,,,,,2279.5539300309547,2044.7355462601647,2486.6019006803326,318.163,,314.539,3.6240000000000236,16679.1028281662,16679.102828166273,16179.448206292434,19142.22255708006,1226000,355.093287,710654.676258993,528345.323741007,1239000,589.882049,522.8016108310323,458.22791792949823,625.3880974764354,13025.236960153099,,11037.335545252092,2048.3753861983605,13085.710931450452,1468.63723859071,699.5315017790697,2048.3753861983605,1827.9225665368024,1973.6405245923893,2259.39229153185
2010,28.872672640446424,,21.34720419663922,6.138326983956646,23.391198,811805.8115875869,833038.9494083966,864751.8788159688,56753.11754315567,1760.378073,42037.51228455382,40964.87738664562,15788.240156510052,1638.5102217101255,2433.4972707506013,1546.8068703146866,4.1712,37588090.75913588,2.7545,1.671071965412492,4.425571965412492,,4.1712,,,,49760044.376,1410.712,,,,42975239.26065,41397340.8900164,50645378.4544076,38596135.624148235,24194.52173168564,,15945,8354.091870825165,6834.477485406181,8843.103441796009,6215.900732765764,2070.5609888925214,,1710,574.3133341082815,1573.446328,1690,15688.029956666394,25571.51959750099,13540.430179937835,9810.293525179844,1.0693238874863935,4160,6083.04286845065,,,,,,2479.057271565026,2519.239919863488,2266.6042949174325,351.848,,328.035,23.812999999999988,21277.2331914813,21277.23319148133,23876.78510884921,19671.849434759097,1398000,357.09432,870985.611510792,562014.388489208,1433000,717.755862,606.6437179930856,600.997205919358,616.7061496745334,13583.0402222264,,11792.35767592063,1988.2327385452404,13780.59041446587,1500.0850794202402,697.2637015317396,1988.2327385452404,2165.903305655069,2534.675339260268,1923.3475798616855
2011,28.046359392606107,,21.54848593607632,7.015614100981918,23.379133999999997,1220739.6205636691,1411468.9593845352,912470.587456153,62002.864398770726,1744.15533,46046.3899635775,44837.93951422307,17164.924884547654,1690.2688289621933,2572.447222203633,1480.4907750552247,4.7247,30235459.47432668,2.8769,1.6260682952887595,4.50296829528876,,4.7247,,,,61920552.217999995,1755.466,,,,53778977.547102004,32133753.31045417,62872732.99686522,38726191.754259616,25089.29089953471,,15990,9046.32648917236,6942.99518683605,10039.597084202684,6246.9899409671625,2253.204354658402,,2340,611.5533227634719,2197.740113,2340,14490.339987493518,26074.83304763287,12856.340052138883,10504.199999999899,1.0707324885885443,4750,5963.31873539522,,,,,,2409.503651139671,2729.332688671689,2243.739952115478,364.586,,327.237,37.34899999999999,23895.6768736983,23895.676873698347,29642.487911533448,20116.870263270295,1484000,364.300878,934546.762589928,603453.237410072,1538000,818.573082,670.5426447996235,731.8453773999267,578.040644087246,14066.2700125753,,12297.24689874724,1802.8929011053401,14100.13979985258,1549.33701250107,758.1289711573602,1802.8929011053401,2037.889401797308,2496.573711723138,1911.5030872132215
2012,28.124161613993667,,22.56339949549157,6.854643987766271,25.035925,1054340.6846774188,1222740.666224131,899436.242795345,66078.32214242282,1324.509121,47963.67485466578,47385.39363578297,18692.92850663985,1450.443292301345,2137.9091863623853,1528.8413023232583,4.6727,34760511.44336601,2.9572,1.636490651685955,4.593690651685955,,4.6727,,,,64372413.721,1824.977,,,,56518569.477336004,37528124.11701693,65571550.79522585,39047205.11825013,25297.975557049198,,15965,9043.93760227421,6240.322481142975,8861.804590536607,6199.919009148334,2317.946344489099,,2570,615.3197028380689,2355.932203,2420,11393.773208087618,19536.85989573413,12508.769495562867,10623.157194244588,1.0113247267040508,5080,6209.41245087556,,,,,,2032.4459458505169,2298.4870685442734,2182.0023105725486,357.896,,314.199,43.697,19202.100419042,19202.100419042043,23526.839724684007,20641.63628282927,1514300,261.788614,948776.978417267,611223.021582733,1560000,697.021439,569.7380545957506,624.1979112439627,580.3860675792008,14475.0577150472,,12668.752100066707,1688.2287914846302,14356.980891551339,1613.36949214588,853.0206287957799,1688.2287914846302,1798.830273665891,2171.553479009524,1938.6186576518535
2013,28.738530879433384,,23.96386680932155,5.169823469442506,25.961294000000002,783593.5809854851,923501.2073969018,875917.2006068373,70072.12526634848,1079.904993,50607.08446595448,50616.17156743783,19455.95369891065,1350.8900393423144,1976.463067027287,1547.424225361617,4.5137,36919530.56733261,3.1668,1.1952304507245022,4.362030450724502,,4.5137,,,,53626494.271,1520.327,,,,45537007.619892,40590115.1354122,54663901.77479262,39357722.1742662,26259.767623756532,,16692,9252.96520586233,5586.857578058069,8048.733649413106,6138.702977156727,2457.656878677687,,2610,637.7694490341669,2511.299435,2610,9663.875209438873,16503.57401038717,11988.157811737388,11329.666187050343,1.0665064989519808,4930,6357.98066204532,,,,,,2018.1389619912236,2349.4042928108006,2136.1418966243427,346.137,,297.916,48.221000000000004,19530.2380039634,19530.23800396348,24459.822079975176,20271.80844768404,1544600,203.18601,1049136.690647484,600863.309352516,1650000,655.789114,520.4771922167384,582.2341919831002,556.4588607575515,14809.4296064115,,12807.815407677399,1885.3140730854702,14693.12948076287,1716.36272388476,818.4052199669998,1885.3140730854702,1726.9698884110378,2097.5877377162183,1935.447794258246
2014,28.486344368728872,,25.007129909502595,4.69496163545635,27.43465,626701.5161625647,726452.5484789056,786604.3004897954,73716.0334637377,1153.396697,54162.389639147,54441.44837180919,19274.585091928508,1514.0941293003132,2105.01157626242,1542.3658692265863,4.4261,39607390.17912042,3.2705,1.1295000626595046,4.400000062659505,,4.4261,,,,47384090.369,1343.353,,,,39909789.61054201,43586692.13835097,48232356.940481015,41281568.67459611,27894.83192393964,,18190,9652.32737306052,5394.942314298394,7412.3646224158365,5999.265744544951,2551.1525244544005,,2130,646.8373274562801,2158.19209,2130,11307.82911612793,18227.510097862312,11474.443444020557,11171.206834532331,0.986013766875221,4630,6335.90575177277,,,,,,1970.865722316305,2262.6807941391094,2136.8607971611755,391.783,,311.277,80.50600000000003,19302.9329259611,19302.932925961148,23642.92020685825,19959.432392768147,1551500,218.009305,1062366.906474821,608633.093525179,1671000,625.94569,534.528728290806,593.3839197940157,532.583461815304,15255.5040447455,,13084.447286886709,2086.6991979336003,15171.146484820309,1810.0214765443402,846.1877722959798,2086.6991979336003,1963.500418729963,2333.50456071516,2005.9329682334835
2015,28.717068197671303,,25.42670311283627,4.466920641734185,28.143956,694210.6006450487,597359.3368942915,712757.6591395711,76701.86560432437,1533.278067,57059.21997192201,56457.35520452658,20244.510399797786,1731.424836901918,1860.6688327553431,1598.1519691084884,4.3685,42508448.15397431,3.3663,1.066801641203479,4.4331016412034785,,4.3685,,,,43305191.195,1227.715,,,,40209714.238356,42949926.1700967,44162631.65726782,42307012.629062906,27978.19375439177,,18426,9480.77543268714,6528.397325448147,5947.110637503623,6119.94096081805,2543.425789767249,,2110,629.729729729729,2149.717514,2110,13084.971537539002,12800.883120449347,11469.624055142658,11190.713669064722,1.0017461707424564,4940,6581.92877098322,,,,,,2249.7552018239994,1928.3859504932173,2254.2534512335146,348.48,,315.571,32.90899999999999,19428.0940157551,19428.094015755185,17342.605642778577,20584.301294531913,1505800,358.61809,1043446.043165468,577553.956834532,1621000,455.83718,487.00768388483897,421.4631173701228,536.4455988036148,15664.3705775258,,13466.31015537981,2166.099735921771,15632.40989130158,1891.68627690427,901.8606834443699,2166.099735921771,2150.0489886870305,2083.452914225616,2260.341377095856
2016,27.52052368943499,,25.51458668921022,4.41326393732897,28.132810000000003,774175.1199784596,641715.0145733911,663785.9445126134,80735.38013287763,1533.162721,58985.57685782362,59840.90429338728,20894.475839490355,1664.977048287041,1656.6902430762484,1642.3592672536065,4.3914,42548544.8236385,3.5173,1.2321408911587837,4.749440891158784,,4.3914,,,,46124315.173999995,1307.638,,,,43624963.306728,41752985.812103726,46878313.061445646,43674174.41032926,28520.72179886335,,19149,9415.05118190179,6245.809023777171,5185.039242848487,6218.856860144796,2727.9397596470685,,2010,659.459459459459,1997.175141,2010,11921.768148909368,10212.12979563692,11911.837549449507,11261.582374100692,1.0063328137178487,4790,7169.52081815783,,,,,,2413.098153823832,1987.0894574946808,2282.9734027953778,362.061,,315.9,46.161,22333.7965991188,22333.79659911889,19100.524687104025,20538.731052346695,1520000,408.311064,1048856.115107914,580143.884892086,1629000,466.806218,551.1656500883856,466.5163898379971,566.6169912216928,16073.184556767199,,13696.618894692318,2190.7136000776104,15887.332494769928,1981.17985470184,933.7336836059296,2190.7136000776104,2390.3152716734958,2224.1514299011574,2481.264489498243
2017,27.702956484412727,,24.485498359412073,4.501797499597576,27.218978,685107.4779262978,627707.0116919884,652697.758187529,84891.17075830896,1776.459551,63536.36539574151,63286.82550153998,21604.345256768982,1729.3737917108551,1781.154737058852,1604.0396952342446,4.2783,42679109.37203834,3.5678,1.112318600152481,4.680118600152481,,4.2783,,,,45451976.521,1288.577,,,,42306183.016679995,42655343.88935088,46299989.52174863,44782544.44317278,29751.1520737327,,20357,9983.93473560994,6843.698562508468,6435.302946173061,6342.356839671347,2940.195730439632,,2190,721.621621621622,2127.118644,2200,11369.676263698118,10862.140297923768,12431.742965817615,12104,1.0748045521415086,4610,7269.27325496988,,,,,,2619.4092162122142,2413.0369068928667,2288.2274473519183,369.088,,336.887,32.20100000000002,22326.4449278608,22326.444927860863,20923.62063426917,20410.861401562906,1633400,494.15014,1092287.769784173,639712.230215827,1732000,597.591327,589.0487395373045,544.5537357224504,561.4782886627637,16593.7273597477,,14227.602753560419,2307.7224017318,16535.32515529222,2076.1859349558904,996.0144994482998,2307.7224017318,3070.872317977752,3014.6614997864726,2598.759972426282
2018,26.943714117078926,,24.102779559073923,4.501797499597576,28.006638,538735.0078506956,564174.4869873716,691800.6243349394,86886.09034049584,1687.884206,63966.90407194746,65227.74068211853,21658.34965837731,1571.926530067905,1702.0039799775725,1570.1012378401238,4.4543,45655005.58816366,3.6536,1.1317010124660076,4.785301012466007,,4.4543,,,,44895298.035000004,1272.795,,,,40434691.598712,47425924.04174401,45609011.21192584,45890700.307304226,30709.6774193548,,20038,9980.2319609178,6081.437074691799,6648.475907080436,6663.775624712645,3118.031539982754,,2400,754.054054054054,2316.384181,2400,11874.942680973109,13347.658015239473,13584.777488165728,12290,1.0153668208856577,4560,7674,,,,,,2161.738719800539,2282.083643905025,2295.879086319744,373.035,,324.733,48.30200000000002,19302.3867930373,19302.3867930374,20511.570733889243,20788.79227271229,1708400,482.721911,1140618.705035972,673381.294964028,1814000,678.448447,671.3341543071292,707.1966609970564,581.4895134043111,17077.0097036355,,14359.8593629138,2623.01904496183,16982.87840787563,2132.64108847451,973.68397371952,2623.01904496183,2831.585450422974,2976.737066311099,2682.748585772956
2019,26.704941782475718,,23.697381126123137,4.574234050544615,28.35378,571260.5845371437,571260.5845371437,696540.9561339107,85768.38814512915,1689.142532,67223.3764402956,64388.65137940613,21379.73676572302,1322.4962692035033,1322.4962692035033,1631.8233759173238,4.3594,52976451.68130001,3.5962,1.2756181422894106,4.871818142289411,,4.3594,,,,52976451.68130001,1501.8981,,,,47712936.086480156,49128542.30256859,49128542.30256859,46212040.90132334,30046.0829493087,,20539,9619.45031712473,6012.442211931147,6012.442211931147,7025.439854825345,3226.8622280817385,,2610,787.837837837838,2511.299435,2610,13907.356197968473,13907.356197968473,14339.024325182158,12244,0.9962571196094385,4720,7599,12319.0,,,,,1997.1359450990085,1997.1359450990085,2211.3187431516003,371.817,,310.661,61.156000000000006,18663.5846720421,18663.58467204219,18663.58467204219,21986.64512927591,1767500,480,1159359.712230216,709640.287769784,1869000,670,508.8352154961597,508.8352154961597,703.6363737766308,17448.642054092597,,14240.812392276797,3026.2637033371398,17267.07609561394,2180.83759065291,1013.37382187708,3026.2637033371398,2550.977833370156,2550.977833370156,2748.8933356690713
2020,25.846434511992275,,22.143826292157893,4.885442936094865,24.563119999999998,889724.9313821004,714287.3546619192,681673.2130937565,,,,,,1561.7325499313145,1368.6928867288632,1688.3245100139452,,,,,,,,,,,,,,,,,48490705.490753934,61699902.44977284,47312263.83066151,,,,,8135.491250654642,6096.641962155219,7060.029450227657,3190.6115308554304,,2510,779.72972972973,2387.00565,,18850.14414927956,13613.633386009513,15288.435081213776,11375,0.9290264619405423,4380,7427,,,,,,2288.0133966631265,1801.7110112276048,2035.4441769607615,367.467,,278.341,89.12599999999998,21317.7483715021,21317.748371502115,16917.205094163768,23837.365946642945,,,,,,,587.0638075925759,482.4809525954506,744.3209565472669,16889.367292929597,,13427.328141662838,3290.9978690417297,16718.326010704568,1960.72575347719,1026.1148186739704,3290.9978690417297,2569.992055420401,2237.3336374270625,2719.3527216890993
2021,28.142941460535493,,23.320332233938142,5.263722702151634,,797876.7789733161,838164.3357854238,717407.7644045217,,,,,,1973.5877386730403,2105.7281510521225,1717.424005000455,,,,,,,,,,,,,,,,,43359688.78219931,59939197.04102779,47283848.77789089,,,,,8054.13017434067,8780.037113402257,7304.677544111622,,,2730,,,,15693.00233399153,17404.70848230326,16141.808181273944,12205,1.0729670329670329,4550,7717,,,,,,1990.2964379831133,2073.7677220276305,2003.870541250817,,,,,28323.0608819369,28323.06088193698,30445.56016028079,24971.11073504433,,,,,,,1161.8999519499837,1240.3479293767366,762.5676571073013,,,,,,,,,2721.039021154074,2830.682319375961,2691.294539505631
2022,29.55947845683318,,23.9043327737134,4.842517572570692,,610768.7627255268,743823.448140126,766123.4910269812,,,,,,2011.8794621939635,2241.4776367733066,1849.0665835994394,,,,,,,,,,,,,,,,,48156458.536041714,58649686.5554349,46668950.93633166,,,,,7016.646539520036,8931.955988487865,7735.422654838448,,,3300,,,,16116.730043856216,20949.25110369322,16886.625509042435,,,4500,,,,,,,1740.03638525802,2095.4112913533663,2006.1154066347535,,,,,31580.049014696,31580.049014696036,38769.30462832839,27073.61942271171,,,,,,,792.471653390486,945.376676758903,847.1451376443484,,,,,,,,,2923.1692480778925,3268.218690204085,2738.0667748841224
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.73284984096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491.70235647161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565.86506550531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586.99455908245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.94023002581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926.20140839841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212.47196654028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286.62842239446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3191.10172555186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5790.46422893481,,3445.54985314799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
