,∆Aluminum,log(Aluminum),Aluminum original,∆Steel,log(Steel),Steel original,∆Gold,log(Gold),Gold original,∆Tin,log(Tin),Tin original,∆Copper,log(Copper),Copper original,∆Nickel,log(Nickel),Nickel original,∆Silver,log(Silver),Silver original,∆Zinc,log(Zinc),Zinc original,∆Lead,log(Lead),Lead original,∆Platinum,log(Platinum),Platinum original,∆Lithium,log(Lithium),Lithium original,∆Si,log(Si),Si original,∆Cobalt,log(Cobalt),Cobalt original,∆Rees,log(Rees),Rees original,∆Tungstate,log(Tungstate),Tungstate original,∆Tantalum,log(Tantalum),Tantalum original,∆Molybdenum,log(Molybdenum),Molybdenum original
2006,2719.224465,1973.359499,2910.014531,428.5408582,534.781428,487.8086776,29355446.02,33579326.97,27010746.8,9110.136079,11175.29787,11097.9614,7679.047789,7152.991588,8516.134778,28956.40856,20097.53591,30553.92591,9892.505683,5623.542151,5168.004763,4005.540135,3618.818079,4134.341921,1483.279592,1797.181174,1632.452707,46518716.27,38245637.37,51009006.99,,,,7.702904973,15.93990288,14.65103125,,,,2061.845641,1076.167316,2061.845641,330.128511,414.1341807,330.128511,,,,,,
2007,2475.664303,1862.939287,2703.978883,523.8906227,613.1477936,594.8152134,31435016.8,33583789.66,30302753.94,15478.3957,16553.96603,17857.18573,7787.1707,7066.558066,8788.895627,43951.85741,29563.2908,45863.57383,9645.155976,5950.364343,5824.455371,3858.385981,3479.053832,4012.520452,2997.230072,3132.433975,3175.742496,51348187.22,40896444.98,56721626.56,,,,9.466136439,16.98265138,16.51203541,,,,3590.667604,1699.628711,3590.667604,306.5517592,354.0992278,306.5517592,,,,,,
2008,2240.182404,1682.470516,2673.315763,676.737018,713.8047202,811.2873662,37888307.21,39939834.48,36516458.21,17368.47136,17305.13386,21881.25067,6346.611486,5431.411537,8246.97406,21463.80419,13084.32585,25090.50274,7985.927158,5450.000378,6278.909409,1944.274518,1786.192352,2236.681516,2145.426802,2132.460676,2484.080978,55693856.02,38547789.9,65887755.29,,,,9.063986814,15.43503684,17.80038955,,,,5082.087763,1850.34659,5082.087763,289.9423499,273.1782771,289.9423499,,,,,,
2009,1616.733845,1272.341493,1733.500224,421.9551244,522.8016108,458.2279179,40626872.77,41981625.32,40881044.67,14962.86932,16679.10283,16179.44821,5632.490013,5630.296973,6144.799793,16476.79929,13045.6819,17454.50384,7772.85168,6918.732395,6149.968993,1894.811902,1827.922567,1973.640525,1953.439365,2279.55393,2044.735546,47796784.12,41989371.23,50544909.33,9856.480473,14587.48348,6789.748085,11.36137223,19.95006908,17.43485001,,,,4069.510997,3276.261973,4069.510997,244.6645542,336.5429994,244.6645542,133.1230697,117.0247629,135.4233438,,,
2010,2176.502767,1638.510222,2433.497271,521.1633644,606.643718,600.9972059,46458112.61,41397340.89,50645378.45,21199.18142,21277.23319,23876.78511,7715.546013,6834.477485,8843.103442,23419.66134,15688.02996,25571.5196,7184.504332,8118.058116,8330.389494,2361.179141,2165.903306,2534.675339,2318.30351,2479.057272,2519.23992,60520127.48,45861530.4,66568555.82,9118.380626,12714.59055,6148.198798,16.27821543,23.36358813,23.61623149,45229.82923,65066.89608,45404.67808,23973.04538,10316.17045,23973.04538,283.6066453,310.3449926,283.6066453,243.9183834,198.965708,243.9183834,21544.72733,25816.55704,38035.72588
2011,2209.13189,1690.268829,2572.447222,618.9835917,670.5426448,731.8453774,46648759.43,32133753.31,62872733,25857.13664,23895.67687,29642.48791,8445.559487,6942.995187,10039.59708,23032.7326,14490.33999,26074.83305,9712.44877,12207.39621,14114.68959,2251.300649,2037.889402,2496.573712,2445.267165,2409.503651,2729.332689,60407007.27,42951709.26,68957722.23,8203.676524,10118.68271,5405.431692,32.00960425,35.51995317,40.01442874,40275.28277,51027.96559,40275.28277,110890.0032,38725.31782,110890.0032,481.5914937,443.5409111,481.5914937,434.6682172,326.3974832,434.6682172,26786.45739,23300.38902,38408.69682
2012,1797.024155,1450.443292,2137.909186,518.3039673,569.7380546,624.1979112,53348838.33,37528124.12,65571550.8,19975.18782,19202.10042,23526.83972,7366.179416,6240.322481,8861.804591,16682.57213,11393.77321,19536.8599,7246.094834,10543.40685,12227.40666,1941.423043,1798.830274,2171.553479,2031.959134,2032.445946,2298.487069,52882596.09,38888547.73,60905408.46,8062.447006,9492.442502,5395.70277,27.12411079,30.72180118,34.6640774,32270.1248,39549.79628,32270.1248,29034.33007,10638.53481,29034.33007,469.6324381,426.7270178,469.6324381,365.5893406,279.1413529,365.5893406,25082.7249,19371.73914,30978.54404
2013,1617.420728,1350.890039,1976.463067,470.6997864,520.4771922,582.234192,49109519.28,40590115.14,54663901.77,20718.99075,19530.238,24459.82208,6473.443708,5586.857578,8048.733649,13497.25205,9663.875209,16503.57401,6814.715523,7835.93581,9235.012074,1855.199359,1726.969888,2097.587738,2068.679696,2018.138962,2349.404293,49105152.36,36247961.73,57555301.39,8152.219166,9355.674868,5617.942548,18.70345823,22.69614107,26.18079059,29714.04092,34884.4843,29714.04092,8814.218681,3190.581202,8814.218681,408.9512583,355.1789888,408.9512583,367.8703897,276.9654851,367.8703897,24733.44366,15461.68372,24705.54355
2014,1794.248847,1514.094129,2105.011576,496.847293,534.5287283,593.3839198,46705654.6,43586692.14,48232356.94,20405.10998,19302.93293,23642.92021,6048.900349,5394.942314,7412.364622,15625.44143,11307.82912,18227.5101,6533.79653,6267.015162,7264.525485,2123.709598,1963.500419,2333.504561,2019.704598,1970.865722,2262.680794,45394209.85,35037956.27,52708086.5,8155.495859,9016.060105,5863.585348,14.01232873,18.13038188,20.59456111,33197.35365,37604.0875,33197.35365,5338.659733,2245.355064,5338.659733,400.2742997,354.5505254,400.2742997,272.758677,215.6332826,272.758677,31385.61201,17616.055,27060.40063
2015,1892.436716,1731.424837,1860.668833,431.3316248,487.0076839,421.4631174,43398939.31,42949926.17,44162631.66,17673.59249,19428.09402,17342.60564,6086.491489,6528.397325,5947.110638,13066.88096,13084.97154,12800.88312,7261.372177,6942.106006,5973.593369,2104.899314,2150.048989,2083.452914,1953.22432,2249.755202,1928.38595,40840680.5,41856017.14,40093015.62,7673.37014,8103.668448,5752.126891,14.20985989,20.66397164,16.93483407,30740.77629,41583.01392,30740.77629,2648.267089,3815.212723,2648.267089,272.1849024,375.0736098,272.1849024,242.3782531,278.0119411,242.3782531,22537.41805,16673.90396,15690.66665
