,Total demand,Primary supply,Scrap demand,Primary supply (BGS),Primary commodity price
1990,,,,,670558.3003139748
1991,,,,,690729.0320602083
1992,,,,,734246.5037987386
1993,,,,,771428.6572058719
1994,,,,,774377.0399846103
1995,,,,,771924.7741841091
1996,,,,,791036.9189753005
1997,,,,,744831.7441752071
1998,,,,,676340.8853710752
1999,,,,,620206.7346441388
2000,,,,,576926.7016345124
2001,23.772602886730695,17.185491612221373,5.070558566292858,19.002631,491147.9643135311
2002,23.35944626281054,16.85380198526164,5.293233889574502,18.904408,449107.03391688847
2003,23.871867789880344,16.930345745329273,5.258357031711112,18.82685,437181.6338744876
2004,23.67333798358105,17.39527821388821,5.330793582658153,19.891030999999998,462217.5342175268
2005,25.62375918871063,18.140871136028466,5.456886838010409,20.752817999999998,491813.6780183796
2006,24.843054139614743,18.240094528708727,5.556151741160058,20.207038,517232.0326453004
2007,24.494285560980845,18.928988369317405,5.478349519772496,20.918483000000002,562189.5075847855
2008,24.54794226538606,19.41093056233582,5.419327144926759,21.436884999999997,641213.9476421447
2009,24.99597574716961,20.335125591300542,5.397864463164672,22.324263,772891.0287358912
2010,28.872672640446424,21.34720419663922,6.138326983956646,23.391198,864751.8788159688
2011,28.046359392606107,21.54848593607632,7.015614100981918,23.379133999999997,912470.587456153
2012,28.124161613993667,22.56339949549157,6.854643987766271,25.035925,899436.242795345
2013,28.738530879433384,23.96386680932155,5.169823469442506,25.961294000000002,875917.2006068373
2014,28.486344368728872,25.007129909502595,4.69496163545635,27.43465,786604.3004897954
2015,28.717068197671303,25.42670311283627,4.466920641734185,28.143956,712757.6591395711
2016,27.52052368943499,25.51458668921022,4.41326393732897,28.132810000000003,663785.9445126134
2017,27.702956484412727,24.485498359412073,4.501797499597576,27.218978,652697.758187529
2018,26.943714117078926,24.102779559073923,4.501797499597576,28.006638,691800.6243349394
2019,26.704941782475718,23.697381126123137,4.574234050544615,28.35378,696540.9561339107
2020,25.846434511992275,22.143826292157893,4.885442936094865,24.563119999999998,681673.2130937565
2021,28.142941460535493,23.320332233938142,5.263722702151634,,717407.7644045217
2022,29.55947845683318,23.9043327737134,4.842517572570692,,766123.4910269812
