,Total demand,Primary supply,Scrap demand,Primary supply (BGS),Primary commodity price
1990,,,,,6705.583003
1991,,,,,6907.2903205
1992,,,,,7342.465038
1993,,,,,7714.286572
1994,,,,,7743.7703998
1995,,,,,7719.2477418
1996,,,,,7910.369189799999
1997,,,,,7448.3174418
1998,,,,,6763.4088538
1999,,,,,6202.0673466
2000,,,,,5769.2670166
2001,23.772602886730695,17.185491612221373,5.070558566292858,19.002631,4911.4796432
2002,23.35944626281054,16.85380198526164,5.293233889574502,18.904408,4491.0703392
2003,23.871867789880344,16.930345745329273,5.258357031711112,18.82685,4371.8163388
2004,23.67333798358105,17.39527821388821,5.330793582658153,19.891030999999998,4622.175342199999
2005,25.62375918871063,18.140871136028466,5.456886838010409,20.752817999999998,4918.1367802
2006,24.843054139614743,18.240094528708727,5.556151741160058,20.207038,5172.3203266
2007,24.494285560980845,18.928988369317405,5.478349519772496,20.918483000000002,5621.895076
2008,24.54794226538606,19.41093056233582,5.419327144926759,21.436884999999997,6412.139476599999
2009,24.99597574716961,20.335125591300542,5.397864463164672,22.324263,7728.910288399999
2010,28.872672640446424,21.34720419663922,6.138326983956646,23.391198,8647.5187898
2011,28.046359392606107,21.54848593607632,7.015614100981918,23.379133999999997,9124.705876200002
2012,28.124161613993667,22.56339949549157,6.854643987766271,25.035925,8994.3624296
2013,28.738530879433384,23.96386680932155,5.169823469442506,25.961294000000002,8759.1720076
2014,28.486344368728872,25.007129909502595,4.69496163545635,27.43465,7866.0430056
2015,28.717068197671303,25.42670311283627,4.466920641734185,28.143956,7127.5765914
2016,27.52052368943499,25.51458668921022,4.41326393732897,28.132810000000003,6637.859445200001
2017,27.702956484412727,24.485498359412073,4.501797499597576,27.218978,6526.9775818
2018,26.943714117078926,24.102779559073923,4.501797499597576,28.006638,6918.006243399999
2019,26.704941782475718,23.697381126123137,4.574234050544615,28.35378,6965.409561400001
2020,25.846434511992275,22.143826292157893,4.885442936094865,24.563119999999998,6816.732131
2021,28.142941460535493,23.320332233938142,5.263722702151634,,7174.077644
2022,29.55947845683318,23.9043327737134,4.842517572570692,,7661.234910333333
