,,Total demand,Scrap demand,Scrap supply,Conc. demand,Conc. supply,Mean mine grade,Mean total minesite cost,Mean total cash margin,Old mine prod.,New mine prod.,Old mine grade,New mine grade,Old mine cost,New mine cost,Old mine margin,New mine margin,Number of operating mines,Number of mines opening,Number of mines closing,Ref. demand,Ref. supply,Sec. ref. cons.,Direct melt,Spread,TCRC,Refined price,Refinery pri. CU,Refinery sec. CU,Refinery SR,Pri. ref. capacity,Sec. ref. capacity,Pri. ref. prod.,Sec. ref. prod.,Additional direct melt,Additional secondary refined,Additional scrap,SX-EW supply,Primary supply,Primary demand,Mine production,Collection rate construction,Collection rate electrical,Collection rate industrial,Collection rate other,Collection rate transport,Old scrap construction,Old scrap electrical,Old scrap industrial,Old scrap other,Old scrap transport,Old scrap collection,New scrap collection,"Construction demand, global","Electrical demand, global","Industrial demand, global","Other demand, global","Transport demand, global","Construction demand, China","Electrical demand, China","Industrial demand, China","Other demand, China","Transport demand, China"
0,1981,14.793727095865092,1e-09,,,10.723976081917025,0.0216581914788158,5185.845715577134,1125.4588747539462,10.72397608191702,0.0,0.0216581914788158,0.0,5185.845715577134,0.0,1125.4588747539462,0.0,127.0,0.0,0.0,14.46933136640778,,,0.3276724539972855,,393.89242891462953,6705.583003000002,,,,,,,,0.0,0.0,0.0,0.0,,,10.723976081917025,,,,,,,,,,,,,7.931990428113028,1.926655904242432e-05,2.8811301706429453,0.974314385039146,3.00627284551093,0.1023775166490276,2.486718166154553e-07,0.0371864987339859,0.0125753917733183,0.038801704450119
0,1982,15.148776546165852,1e-09,,,10.28790035727102,0.0512990987819896,3958.506305276362,2357.974065636137,10.287900357271022,0.0,0.0512990987819896,0.0,3958.506305276362,0.0,2357.974065636137,0.0,137.0,0.0,0.0,14.816595319201564,,,0.3355365928932203,,393.89242891462953,6705.583003,,,,,,,,0.0,0.0,0.0,0.0,,,10.28790035727102,,,,,,,,,,,,,8.12235819838774,1.9728956459442505e-05,2.9502772947383757,0.9976979302800856,3.078423393803192,0.1169501070595763,2.840681873108617e-07,0.0424796884165461,0.014365394496211,0.0443248052704017
0,1983,15.512347183273832,1e-09,,,9.390863182534044,0.0629743106427161,2773.3624956764834,3542.1231417994754,9.390863182534044,0.0,0.0629743106427161,0.0,2773.3624956764834,0.0,3542.1231417994754,0.0,43.0,0.0,0.0,15.1721936068624,,,0.3435894711226576,,393.89242891462953,6705.583003000001,,,,,,,,0.0,0.0,0.0,0.0,,,9.390863182534044,,,,,,,,,,,,,8.317294795149046,2.0202451414469123e-05,3.021083949812096,1.0216426806068075,3.1523055552544696,0.1262784683274104,3.067264878679066e-07,0.0458680211856021,0.0155112300408279,0.047860311197541
0,1984,15.884643515672408,1e-09,,,9.547594781235128,0.0708165637059348,2571.484884349112,3739.818938640583,9.547594781235128,0.0,0.0708165637059348,0.0,2571.484884349112,0.0,3739.818938640583,0.0,45.0,0.0,0.0,15.536326253427102,,,0.3518356184296015,,393.89242891462953,6705.583002999999,,,,,,,,0.0,0.0,0.0,0.0,,,9.547594781235128,,,,,,,,,,,,,8.516909870232624,2.068731024841638e-05,3.0935899646075877,1.0461621049413714,3.227960888580577,0.1432439353553411,3.479350817433395e-07,0.0520303734168878,0.0175951582457378,0.0542903268789407
0,1985,16.265874960048546,1e-09,,,10.145910454710354,0.0664621276317302,2513.0892501400717,3802.179648365369,10.145910454710355,0.0,0.0664621276317302,0.0,2513.0892501400717,0.0,3802.179648365369,0.0,46.0,0.0,0.0,15.909198083509352,,,0.3602796732719119,,393.89242891462953,6705.583003000001,,,,,,,,0.0,0.0,0.0,0.0,,,10.145910454710354,,,,,,,,,,,,,8.721315707118206,2.1183805694378375e-05,3.167836123758169,1.071269995459964,3.3054319499065112,0.2001090144015874,4.860585972500603e-07,0.072685427955968,0.0245800966446519,0.07584253934615
0,1986,16.656255959089712,1e-09,,,10.778671164581516,0.0547721195406471,2530.221029682679,3782.556564943772,10.778671164581516,0.0,0.0547721195406471,0.0,2530.221029682679,0.0,3782.556564943772,0.0,43.0,0.0,0.0,16.29101883751358,,,0.3689263854304379,47972.63999999996,393.89242891462953,6705.583003000001,,,,,,,,0.0,0.0,0.0,0.0,,,10.778671164581516,,,,,,,,,,,,,8.930627284089043,2.169221703104345e-05,3.243864190728366,1.0969804753510033,3.384762316704267,0.1747961075229273,4.245743305539502e-07,0.0634910422118423,0.021470822935543,0.0662487929492112
0,1987,17.056006102107865,1e-09,,,11.494106981560591,0.0510018570227511,2552.1506501052345,3759.791781794043,11.494106981560591,0.0,0.0510018570227511,0.0,2552.1506501052345,0.0,3759.791781794043,0.0,43.0,0.0,0.0,16.682003289613906,,,0.3777806186807683,47972.63999999996,393.89242891462953,6705.583003000001,,,,,,,,0.0,0.0,0.0,0.0,,,11.494106981560591,,,,,,,,,,,,,9.14496233890718,2.2212830239788502e-05,3.3217169313058466,1.1233080067594274,3.4659966123051698,0.164850240390474,4.004161273800837e-07,0.0598784133101539,0.0202491369657148,0.0624792485257357
0,1988,17.46535024855845,1e-09,,,11.413950403226034,0.0482896913654581,2583.7003070021824,3728.3401485491463,11.413950403226035,0.0,0.0482896913654581,0.0,2583.7003070021824,0.0,3728.3401485491463,0.0,43.0,0.0,0.0,17.082371368564637,,,0.3868473535291067,47972.63999999996,393.89242891462953,6705.583003000001,,,,,,,,0.0,0.0,0.0,0.0,,,11.413950403226034,,,,,,,,,,,,,9.364441435040954,2.274593816554343e-05,3.4014381376571854,1.1502673989216534,3.5491805310004936,0.1568271031934921,3.809281756595096e-07,0.056964175975789,0.0192636267012979,0.0594384304978157
0,1989,17.884518654523855,1e-09,,,11.700416965051556,0.046536378242749,2578.698652371075,3733.067866565746,11.700416965051556,0.0,0.046536378242749,0.0,2578.698652371075,0.0,3733.067866565746,0.0,45.0,0.0,0.0,17.492348281410187,,,0.3961316900138053,47972.63999999996,393.89242891462953,6705.583002999999,,,,,,,,0.0,0.0,0.0,0.0,,,11.700416965051556,,,,,,,,,,,,,9.589188029481935,2.3291840681516477e-05,3.4830726529609595,1.1778738164957732,3.634360863744505,0.1736635007328392,4.21823263745329e-07,0.0630796464059634,0.0213317008452963,0.0658195280542845
0,1990,18.313747102232437,1e-09,,,12.14389770660456,0.0511187466458926,2573.12242828996,3740.0942956175577,12.143897706604555,0.0,0.0511187466458926,0.0,2573.12242828996,0.0,3740.0942956175577,0.0,49.0,0.0,0.0,17.912164640164036,,,0.4056388505741368,47972.63999999996,393.89242891462953,6705.583003,,,,,,,,0.0,0.0,0.0,0.0,,,12.14389770660456,,,,,,,,,,,,,9.819328542189504,2.3850844857872867e-05,3.5666663966320225,1.206142788091672,3.721585524474375,0.188963652045439,4.589868573343288e-07,0.0686371074192667,0.0232110724421539,0.0716183789026484
0,1991,18.753277032686007,1e-09,,,11.735885808610735,0.0481847996990702,2593.4254310886763,3929.104098293096,11.735885808610735,0.0,0.0481847996990702,0.0,2593.4254310886763,0.0,3929.104098293096,0.0,50.0,0.0,0.0,18.34205659152797,,,0.4153741829879159,47972.63999999996,393.89242891462953,6907.290320499998,,,,,,,,0.0,0.0,0.0,0.0,,,11.735885808610735,,,,,,,,,,,,,10.05499242720205,2.4423265134461823e-05,3.652266390151192,1.2350902150058722,3.810903577061759,0.1991880834748946,4.838216845565913e-07,0.0723509189948163,0.0244669754479439,0.0754935008970244
0,1992,19.20335568147048,1e-09,,,11.72744252053166,0.0448426703820231,2606.974552381429,4350.83819796789,11.72744252053166,0.0,0.0448426703820231,0.0,2606.974552381429,0.0,4350.83819796789,0.0,51.0,0.0,0.0,18.782265949724646,,,0.4253431633796261,47972.63999999996,393.89242891462953,7342.465038000006,,,,,,,,0.0,0.0,0.0,0.0,,,11.72744252053166,,,,,,,,,,,,,10.296312245454905,2.500942349768891e-05,3.73992078351482,1.2647323801660133,3.902365262911242,0.2525395560619494,6.134107588141234e-07,0.0917297292331641,0.0310203251620781,0.095714035044169
0,1993,19.664236217825767,1e-09,,,11.888812825352089,0.0447886248369138,2611.5747579359936,4715.993283037472,11.888812825352089,0.0,0.0447886248369138,0.0,2611.5747579359936,0.0,4715.993283037472,0.0,53.0,0.0,0.0,19.23304033251804,,,0.435551399300737,47972.63999999996,393.89242891462953,7714.286571999997,,,,,,,,0.0,0.0,0.0,0.0,,,11.888812825352089,,,,,,,,,,,,,10.54342373934582,2.560964966163344e-05,3.829678882319176,1.295085957289997,3.9960220292211126,0.2855403210842978,6.935685947962202e-07,0.1037165691848615,0.0350739256259177,0.1082215266589028
0,1994,20.136177887053584,1e-09,,,11.681210264135506,0.0430763237123446,2628.677785513448,4721.644988723686,11.681210264135506,0.0,0.0430763237123446,0.0,2628.677785513448,0.0,4721.644988723686,0.0,53.0,0.0,0.0,19.69463330049847,,,0.4460046328839547,47972.63999999996,393.89242891462953,7743.7703998,,,,,,,,0.0,0.0,0.0,0.0,,,11.681210264135506,,,,,,,,,,,,,10.79646590909012,2.622428125351264e-05,3.9215911754948354,1.3261680202649573,4.091926557922418,0.3014008383054615,7.320932998187948e-07,0.1094775714329148,0.0370221289454743,0.1142327596110694
